Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2013-01-01 08:00:00,Abra,2663.16,120.76,ESE
2013-01-01 11:00:00,Abra,2566.24,121.99,ESE
2013-01-01 14:00:00,Abra,2468.28,123.69,ESE
2013-01-01 17:00:00,Abra,2365.34,125.3,SE
2013-01-01 20:00:00,Abra,2256.98,126.82,SE
2013-01-01 23:00:00,Abra,2142.8,128.26,SE
2013-01-02 02:00:00,Abra,2022.42,129.61,SE
2013-01-02 05:00:00,Abra,1895.21,131.35,SE
2013-01-02 08:00:00,Abra,1785.47,133.31,SE
2013-01-02 11:00:00,Abra,1669.65,135.25,SE
2013-01-02 14:00:00,Abra,1564.32,137.72,SE
2013-01-02 17:00:00,Abra,1468.82,140.18,SE
2013-01-02 20:00:00,Abra,1376.17,142.97,SE
2013-01-02 23:00:00,Abra,1292.92,145.71,SE
2013-01-03 02:00:00,Abra,1217.06,149.52,SSE
2013-01-03 05:00:00,Abra,1127.59,154.57,SSE
2013-01-03 08:00:00,Abra,1054.86,161.18,SSE
2013-01-03 11:00:00,Abra,1010.37,168.13,SSE
2013-01-03 14:00:00,Abra,982.17,174.95,S
2013-01-03 17:00:00,Abra,989.91,181.39,S
2013-01-03 20:00:00,Abra,995.73,186.47,S
2013-01-03 23:00:00,Abra,1022.01,191.95,SSW
2013-01-04 02:00:00,Abra,1043.02,196.71,SSW
2013-01-04 05:00:00,Abra,1081.05,201.06,SSW
2013-01-04 08:00:00,Abra,1105.57,204.28,SSW
2013-01-04 11:00:00,Abra,1133.28,207.36,SSW
2013-01-04 14:00:00,Abra,1173.68,210.03,SSW
2013-01-04 17:00:00,Abra,1216.33,212.52,SSW
2013-01-04 20:00:00,Abra,1245.67,214.7,SW
2013-01-04 23:00:00,Abra,1292.06,216.89,SW
2013-01-05 02:00:00,Abra,1324.6,218.85,SW
2013-01-05 05:00:00,Abra,1367.18,220.42,SW
2013-01-05 08:00:00,Abra,1410.67,221.9,SW
2013-01-05 11:00:00,Abra,1447.73,222.96,SW
2013-01-05 14:00:00,Abra,1477.89,223.65,SW
2013-01-05 17:00:00,Abra,1508.25,224.32,SW
2013-01-05 20:00:00,Abra,1523.14,224.94,SW
2013-01-05 23:00:00,Abra,1561.95,225.28,SW
2013-01-06 02:00:00,Abra,1585.15,225.59,SW
2013-01-06 05:00:00,Abra,1600.37,226.17,SW
2013-01-06 08:00:00,Abra,1608.03,226.45,SW
2013-01-06 11:00:00,Abra,1631.24,227.3,SW
2013-01-06 14:00:00,Abra,1654.71,227.57,SW
2013-01-06 17:00:00,Abra,1678.33,228.37,SW
2013-01-06 20:00:00,Abra,1709.89,228.88,SW
2013-01-06 23:00:00,Abra,1733.55,229.12,SW
2013-01-07 02:00:00,Abra,1764.87,229.09,SW
2013-01-07 05:00:00,Abra,1796.2,229.06,SW
2013-01-07 08:00:00,Abra,1811.86,229.05,SW
2013-01-07 11:00:00,Abra,1827.53,229.03,SW
2013-01-07 14:00:00,Abra,1835.21,228.78,SW
2013-01-07 17:00:00,Abra,1850.68,228.28,SW
2013-01-07 20:00:00,Abra,1858.46,228.03,SW
2013-01-07 23:00:00,Abra,1866.28,227.78,SW
2013-01-08 02:00:00,Abra,1874.13,227.53,SW
2013-01-08 05:00:00,Abra,1866.33,227.29,SW
2013-01-08 08:00:00,Abra,1874.24,227.05,SW
2013-01-08 11:00:00,Abra,1874.82,226.08,SW
2013-01-08 14:00:00,Abra,1868.41,224.85,SW
2013-01-08 17:00:00,Abra,1869.2,224.36,SW
2013-01-08 20:00:00,Abra,1871.15,223.39,SW
2013-01-08 23:00:00,Abra,1875.0,221.93,SW
2013-01-09 02:00:00,Abra,1871.25,220.7,SW
2013-01-09 05:00:00,Abra,1861.59,219.18,SW
2013-01-09 08:00:00,Abra,1850.64,218.14,SW
2013-01-09 11:00:00,Abra,1862.17,217.45,SW
2013-01-09 14:00:00,Abra,1858.49,216.68,SW
2013-01-09 17:00:00,Abra,1858.16,215.43,SW
2013-01-09 20:00:00,Abra,1864.63,214.47,SW
2013-01-09 23:00:00,Abra,1871.58,213.52,SSW
2013-01-10 02:00:00,Abra,1884.74,212.86,SSW
2013-01-10 05:00:00,Abra,1873.33,212.28,SSW
2013-01-10 08:00:00,Abra,1846.92,211.55,SSW
2013-01-01 08:00:00,Agusan del Norte,1788.67,105.04,ESE
2013-01-01 11:00:00,Agusan del Norte,1679.49,105.78,ESE
2013-01-01 14:00:00,Agusan del Norte,1563.61,107.13,ESE
2013-01-01 17:00:00,Agusan del Norte,1444.84,108.28,ESE
2013-01-01 20:00:00,Agusan del Norte,1322.75,109.16,ESE
2013-01-01 23:00:00,Agusan del Norte,1196.99,109.7,ESE
2013-01-02 02:00:00,Agusan del Norte,1067.36,109.81,ESE
2013-01-02 05:00:00,Agusan del Norte,927.5,110.16,ESE
2013-01-02 08:00:00,Agusan del Norte,802.14,111.08,ESE
2013-01-02 11:00:00,Agusan del Norte,672.8,111.43,ESE
2013-01-02 14:00:00,Agusan del Norte,547.94,112.98,ESE
2013-01-02 17:00:00,Agusan del Norte,433.69,114.77,ESE
2013-01-02 20:00:00,Agusan del Norte,320.16,117.77,ESE
2013-01-02 23:00:00,Agusan del Norte,217.65,122.32,ESE
2013-01-03 02:00:00,Agusan del Norte,119.84,142.01,SE
2013-01-03 05:00:00,Agusan del Norte,84.46,223.65,SW
2013-01-03 08:00:00,Agusan del Norte,204.84,259.19,W
2013-01-03 11:00:00,Agusan del Norte,334.09,265.46,W
2013-01-03 14:00:00,Agusan del Norte,454.04,268.21,W
2013-01-03 17:00:00,Agusan del Norte,564.36,267.57,W
2013-01-03 20:00:00,Agusan del Norte,652.17,268.01,W
2013-01-03 23:00:00,Agusan del Norte,751.57,267.56,W
2013-01-04 02:00:00,Agusan del Norte,839.37,267.93,W
2013-01-04 05:00:00,Agusan del Norte,927.85,267.55,W
2013-01-04 08:00:00,Agusan del Norte,993.7,267.81,W
2013-01-04 11:00:00,Agusan del Norte,1059.57,268.03,W
2013-01-04 14:00:00,Agusan del Norte,1126.13,267.67,W
2013-01-04 17:00:00,Agusan del Norte,1192.77,267.35,W
2013-01-04 20:00:00,Agusan del Norte,1247.63,267.54,W
2013-01-04 23:00:00,Agusan del Norte,1314.31,267.27,W
2013-01-05 02:00:00,Agusan del Norte,1369.17,267.45,W
2013-01-05 05:00:00,Agusan del Norte,1424.92,267.18,W
2013-01-05 08:00:00,Agusan del Norte,1480.72,266.92,W
2013-01-05 11:00:00,Agusan del Norte,1525.6,266.65,W
2013-01-05 14:00:00,Agusan del Norte,1559.57,266.36,W
2013-01-05 17:00:00,Agusan del Norte,1593.59,266.07,W
2013-01-05 20:00:00,Agusan del Norte,1615.5,266.16,W
2013-01-05 23:00:00,Agusan del Norte,1650.81,265.5,W
2013-01-06 02:00:00,Agusan del Norte,1674.03,265.21,W
2013-01-06 05:00:00,Agusan del Norte,1695.92,265.3,W
2013-01-06 08:00:00,Agusan del Norte,1706.87,265.34,W
2013-01-06 11:00:00,Agusan del Norte,1739.71,265.48,W
2013-01-06 14:00:00,Agusan del Norte,1762.95,265.2,W
2013-01-06 17:00:00,Agusan del Norte,1795.79,265.33,W
2013-01-06 20:00:00,Agusan del Norte,1830.0,265.11,W
2013-01-06 23:00:00,Agusan del Norte,1853.31,264.85,W
2013-01-07 02:00:00,Agusan del Norte,1878.2,264.26,W
2013-01-07 05:00:00,Agusan del Norte,1903.29,263.68,W
2013-01-07 08:00:00,Agusan del Norte,1915.91,263.4,W
2013-01-07 11:00:00,Agusan del Norte,1928.57,263.12,W
2013-01-07 14:00:00,Agusan del Norte,1930.39,262.79,W
2013-01-07 17:00:00,Agusan del Norte,1934.19,262.13,W
2013-01-07 20:00:00,Agusan del Norte,1936.19,261.8,W
2013-01-07 23:00:00,Agusan del Norte,1938.24,261.47,W
2013-01-08 02:00:00,Agusan del Norte,1940.36,261.14,W
2013-01-08 05:00:00,Agusan del Norte,1929.51,261.08,W
2013-01-08 08:00:00,Agusan del Norte,1931.69,260.75,W
2013-01-08 11:00:00,Agusan del Norte,1914.6,259.95,W
2013-01-08 14:00:00,Agusan del Norte,1887.06,259.07,W
2013-01-08 17:00:00,Agusan del Norte,1878.83,258.65,WSW
2013-01-08 20:00:00,Agusan del Norte,1862.63,257.82,WSW
2013-01-08 23:00:00,Agusan del Norte,1839.02,256.54,WSW
2013-01-09 02:00:00,Agusan del Norte,1813.12,255.57,WSW
2013-01-09 05:00:00,Agusan del Norte,1777.11,254.47,WSW
2013-01-09 08:00:00,Agusan del Norte,1748.79,253.78,WSW
2013-01-09 11:00:00,Agusan del Norte,1745.27,252.97,WSW
2013-01-09 14:00:00,Agusan del Norte,1727.92,252.38,WSW
2013-01-09 17:00:00,Agusan del Norte,1704.15,251.29,WSW
2013-01-09 20:00:00,Agusan del Norte,1691.31,250.31,WSW
2013-01-09 23:00:00,Agusan del Norte,1678.92,249.31,WSW
2013-01-10 02:00:00,Agusan del Norte,1677.23,248.46,WSW
2013-01-10 05:00:00,Agusan del Norte,1656.82,248.15,WSW
2013-01-10 08:00:00,Agusan del Norte,1621.84,248.05,WSW
2013-01-01 08:00:00,Agusan del Sur,1737.69,104.25,ESE
2013-01-01 11:00:00,Agusan del Sur,1628.17,104.95,ESE
2013-01-01 14:00:00,Agusan del Sur,1511.69,106.28,ESE
2013-01-01 17:00:00,Agusan del Sur,1392.44,107.38,ESE
2013-01-01 20:00:00,Agusan del Sur,1269.99,108.2,ESE
2013-01-01 23:00:00,Agusan del Sur,1144.03,108.66,ESE
2013-01-02 02:00:00,Agusan del Sur,1014.39,108.62,ESE
2013-01-02 05:00:00,Agusan del Sur,874.42,108.8,ESE
2013-01-02 08:00:00,Agusan del Sur,748.74,109.54,ESE
2013-01-02 11:00:00,Agusan del Sur,619.33,109.58,ESE
2013-01-02 14:00:00,Agusan del Sur,493.96,110.82,ESE
2013-01-02 17:00:00,Agusan del Sur,379.16,112.18,ESE
2013-01-02 20:00:00,Agusan del Sur,264.79,114.67,ESE
2013-01-02 23:00:00,Agusan del Sur,161.22,118.77,ESE
2013-01-03 02:00:00,Agusan del Sur,63.72,150.73,SSE
2013-01-03 05:00:00,Agusan del Sur,103.27,257.63,WSW
2013-01-03 08:00:00,Agusan del Sur,243.75,270.17,W
2013-01-03 11:00:00,Agusan del Sur,375.79,271.95,W
2013-01-03 14:00:00,Agusan del Sur,496.98,272.91,W
2013-01-03 17:00:00,Agusan del Sur,606.58,271.46,W
2013-01-03 20:00:00,Agusan del Sur,694.51,271.39,W
2013-01-03 23:00:00,Agusan del Sur,793.46,270.54,W
2013-01-04 02:00:00,Agusan del Sur,881.41,270.6,W
2013-01-04 05:00:00,Agusan del Sur,969.55,270.0,W
2013-01-04 08:00:00,Agusan del Sur,1035.52,270.09,W
2013-01-04 11:00:00,Agusan del Sur,1101.49,270.17,W
2013-01-04 14:00:00,Agusan del Sur,1167.76,269.7,W
2013-01-04 17:00:00,Agusan del Sur,1234.14,269.28,W
2013-01-04 20:00:00,Agusan del Sur,1289.11,269.39,W
2013-01-04 23:00:00,Agusan del Sur,1355.57,269.03,W
2013-01-05 02:00:00,Agusan del Sur,1410.53,269.14,W
2013-01-05 05:00:00,Agusan del Sur,1466.07,268.81,W
2013-01-05 08:00:00,Agusan del Sur,1521.67,268.5,W
2013-01-05 11:00:00,Agusan del Sur,1566.34,268.19,W
2013-01-05 14:00:00,Agusan del Sur,1600.09,267.87,W
2013-01-05 17:00:00,Agusan del Sur,1633.89,267.56,W
2013-01-05 20:00:00,Agusan del Sur,1655.86,267.63,W
2013-01-05 23:00:00,Agusan del Sur,1690.69,266.96,W
2013-01-06 02:00:00,Agusan del Sur,1713.69,266.65,W
2013-01-06 05:00:00,Agusan del Sur,1735.64,266.72,W
2013-01-06 08:00:00,Agusan del Sur,1746.62,266.75,W
2013-01-06 11:00:00,Agusan del Sur,1779.55,266.86,W
2013-01-06 14:00:00,Agusan del Sur,1802.58,266.57,W
2013-01-06 17:00:00,Agusan del Sur,1835.5,266.67,W
2013-01-06 20:00:00,Agusan del Sur,1869.55,266.43,W
2013-01-06 23:00:00,Agusan del Sur,1892.66,266.16,W
2013-01-07 02:00:00,Agusan del Sur,1917.11,265.56,W
2013-01-07 05:00:00,Agusan del Sur,1941.77,264.98,W
2013-01-07 08:00:00,Agusan del Sur,1954.17,264.69,W
2013-01-07 11:00:00,Agusan del Sur,1966.62,264.41,W
2013-01-07 14:00:00,Agusan del Sur,1968.19,264.08,W
2013-01-07 17:00:00,Agusan del Sur,1971.5,263.43,W
2013-01-07 20:00:00,Agusan del Sur,1973.24,263.11,W
2013-01-07 23:00:00,Agusan del Sur,1975.04,262.79,W
2013-01-08 02:00:00,Agusan del Sur,1976.9,262.46,W
2013-01-08 05:00:00,Agusan del Sur,1966.01,262.41,W
2013-01-08 08:00:00,Agusan del Sur,1967.93,262.08,W
2013-01-08 11:00:00,Agusan del Sur,1950.23,261.31,W
2013-01-08 14:00:00,Agusan del Sur,1922.0,260.46,W
2013-01-08 17:00:00,Agusan del Sur,1913.44,260.06,W
2013-01-08 20:00:00,Agusan del Sur,1896.58,259.26,W
2013-01-08 23:00:00,Agusan del Sur,1871.94,258.02,WSW
2013-01-09 02:00:00,Agusan del Sur,1845.25,257.09,WSW
2013-01-09 05:00:00,Agusan del Sur,1808.33,256.03,WSW
2013-01-09 08:00:00,Agusan del Sur,1779.45,255.39,WSW
2013-01-09 11:00:00,Agusan del Sur,1775.24,254.59,WSW
2013-01-09 14:00:00,Agusan del Sur,1757.39,254.02,WSW
2013-01-09 17:00:00,Agusan del Sur,1732.69,252.98,WSW
2013-01-09 20:00:00,Agusan del Sur,1719.0,252.02,WSW
2013-01-09 23:00:00,Agusan del Sur,1705.75,251.06,WSW
2013-01-10 02:00:00,Agusan del Sur,1703.3,250.22,WSW
2013-01-10 05:00:00,Agusan del Sur,1682.62,249.94,WSW
2013-01-10 08:00:00,Agusan del Sur,1647.56,249.88,WSW
2013-01-01 08:00:00,Aklan,2210.67,109.7,ESE
2013-01-01 11:00:00,Aklan,2104.14,110.58,ESE
2013-01-01 14:00:00,Aklan,1992.53,111.98,ESE
2013-01-01 17:00:00,Aklan,1877.26,113.22,ESE
2013-01-01 20:00:00,Aklan,1757.91,114.28,ESE
2013-01-01 23:00:00,Aklan,1634.09,115.14,ESE
2013-01-02 02:00:00,Aklan,1505.49,115.74,ESE
2013-01-02 05:00:00,Aklan,1367.39,116.67,ESE
2013-01-02 08:00:00,Aklan,1244.82,117.98,ESE
2013-01-02 11:00:00,Aklan,1117.34,119.07,ESE
2013-01-02 14:00:00,Aklan,996.25,120.96,ESE
2013-01-02 17:00:00,Aklan,885.61,122.93,ESE
2013-01-02 20:00:00,Aklan,776.28,125.45,SE
2013-01-02 23:00:00,Aklan,677.39,128.15,SE
2013-01-03 02:00:00,Aklan,580.05,133.29,SE
2013-01-03 05:00:00,Aklan,466.61,141.61,SE
2013-01-03 08:00:00,Aklan,374.3,156.94,SSE
2013-01-03 11:00:00,Aklan,333.9,177.49,S
2013-01-03 14:00:00,Aklan,339.38,198.25,SSW
2013-01-03 17:00:00,Aklan,397.0,213.01,SSW
2013-01-03 20:00:00,Aklan,450.5,222.49,SW
2013-01-03 23:00:00,Aklan,529.03,229.68,SW
2013-01-04 02:00:00,Aklan,598.17,235.23,SW
2013-01-04 05:00:00,Aklan,677.47,238.8,WSW
2013-01-04 08:00:00,Aklan,734.16,241.55,WSW
2013-01-04 11:00:00,Aklan,792.24,243.91,WSW
2013-01-04 14:00:00,Aklan,856.24,245.28,WSW
2013-01-04 17:00:00,Aklan,920.63,246.46,WSW
2013-01-04 20:00:00,Aklan,970.81,247.83,WSW
2013-01-04 23:00:00,Aklan,1035.88,248.74,WSW
2013-01-05 02:00:00,Aklan,1086.81,249.87,WSW
2013-01-05 05:00:00,Aklan,1142.09,250.38,WSW
2013-01-05 08:00:00,Aklan,1197.45,250.84,WSW
2013-01-05 11:00:00,Aklan,1242.58,251.09,WSW
2013-01-05 14:00:00,Aklan,1277.42,251.15,WSW
2013-01-05 17:00:00,Aklan,1312.27,251.21,WSW
2013-01-05 20:00:00,Aklan,1332.9,251.55,WSW
2013-01-05 23:00:00,Aklan,1371.68,251.15,WSW
2013-01-06 02:00:00,Aklan,1396.25,251.05,WSW
2013-01-06 05:00:00,Aklan,1416.86,251.37,WSW
2013-01-06 08:00:00,Aklan,1427.19,251.53,WSW
2013-01-06 11:00:00,Aklan,1458.21,251.99,WSW
2013-01-06 14:00:00,Aklan,1482.75,251.88,WSW
2013-01-06 17:00:00,Aklan,1513.83,252.31,WSW
2013-01-06 20:00:00,Aklan,1548.73,252.34,WSW
2013-01-06 23:00:00,Aklan,1573.27,252.23,WSW
2013-01-07 02:00:00,Aklan,1601.67,251.75,WSW
2013-01-07 05:00:00,Aklan,1630.2,251.29,WSW
2013-01-07 08:00:00,Aklan,1644.5,251.06,WSW
2013-01-07 11:00:00,Aklan,1658.83,250.84,WSW
2013-01-07 14:00:00,Aklan,1662.92,250.48,WSW
2013-01-07 17:00:00,Aklan,1671.29,249.76,WSW
2013-01-07 20:00:00,Aklan,1675.57,249.4,WSW
2013-01-07 23:00:00,Aklan,1679.91,249.05,WSW
2013-01-08 02:00:00,Aklan,1684.31,248.7,WSW
2013-01-08 05:00:00,Aklan,1674.17,248.55,WSW
2013-01-08 08:00:00,Aklan,1678.66,248.19,WSW
2013-01-08 11:00:00,Aklan,1667.71,247.18,WSW
2013-01-08 14:00:00,Aklan,1647.31,245.98,WSW
2013-01-08 17:00:00,Aklan,1642.31,245.45,WSW
2013-01-08 20:00:00,Aklan,1632.7,244.39,WSW
2013-01-08 23:00:00,Aklan,1619.27,242.79,WSW
2013-01-09 02:00:00,Aklan,1601.41,241.5,WSW
2013-01-09 05:00:00,Aklan,1574.87,239.97,WSW
2013-01-09 08:00:00,Aklan,1552.67,238.97,WSW
2013-01-09 11:00:00,Aklan,1555.54,238.05,WSW
2013-01-09 14:00:00,Aklan,1543.36,237.24,WSW
2013-01-09 17:00:00,Aklan,1528.88,235.83,SW
2013-01-09 20:00:00,Aklan,1524.14,234.66,SW
2013-01-09 23:00:00,Aklan,1520.02,233.47,SW
2013-01-10 02:00:00,Aklan,1525.14,232.55,SW
2013-01-10 05:00:00,Aklan,1507.91,232.02,SW
2013-01-10 08:00:00,Aklan,1475.17,231.52,SW
2013-01-01 08:00:00,Albay,2134.41,115.15,ESE
2013-01-01 11:00:00,Albay,2031.59,116.35,ESE
2013-01-01 14:00:00,Albay,1925.67,118.13,ESE
2013-01-01 17:00:00,Albay,1815.67,119.8,ESE
2013-01-01 20:00:00,Albay,1701.09,121.35,ESE
2013-01-01 23:00:00,Albay,1581.46,122.79,ESE
2013-01-02 02:00:00,Albay,1456.36,124.08,SE
2013-01-02 05:00:00,Albay,1323.32,125.9,SE
2013-01-02 08:00:00,Albay,1207.41,128.16,SE
2013-01-02 11:00:00,Albay,1086.23,130.45,SE
2013-01-02 14:00:00,Albay,974.92,133.74,SE
2013-01-02 17:00:00,Albay,874.79,137.3,SE
2013-01-02 20:00:00,Albay,778.71,141.72,SE
2013-01-02 23:00:00,Albay,694.27,146.55,SSE
2013-01-03 02:00:00,Albay,621.01,154.0,SSE
2013-01-03 05:00:00,Albay,543.93,165.1,SSE
2013-01-03 08:00:00,Albay,503.72,180.38,S
2013-01-03 11:00:00,Albay,510.56,195.37,SSW
2013-01-03 14:00:00,Albay,544.5,208.08,SSW
2013-01-03 17:00:00,Albay,612.18,216.76,SW
2013-01-03 20:00:00,Albay,667.73,222.88,SW
2013-01-03 23:00:00,Albay,745.16,227.98,SW
2013-01-04 02:00:00,Albay,811.66,232.23,SW
2013-01-04 05:00:00,Albay,888.3,235.25,SW
2013-01-04 08:00:00,Albay,942.45,237.62,WSW
2013-01-04 11:00:00,Albay,997.96,239.73,WSW
2013-01-04 14:00:00,Albay,1060.21,241.11,WSW
2013-01-04 17:00:00,Albay,1122.98,242.34,WSW
2013-01-04 20:00:00,Albay,1171.23,243.66,WSW
2013-01-04 23:00:00,Albay,1234.87,244.66,WSW
2013-01-05 02:00:00,Albay,1284.03,245.79,WSW
2013-01-05 05:00:00,Albay,1338.39,246.41,WSW
2013-01-05 08:00:00,Albay,1392.89,246.99,WSW
2013-01-05 11:00:00,Albay,1437.51,247.33,WSW
2013-01-05 14:00:00,Albay,1472.17,247.48,WSW
2013-01-05 17:00:00,Albay,1506.85,247.63,WSW
2013-01-05 20:00:00,Albay,1526.9,247.98,WSW
2013-01-05 23:00:00,Albay,1566.21,247.73,WSW
2013-01-06 02:00:00,Albay,1590.89,247.7,WSW
2013-01-06 05:00:00,Albay,1610.95,248.03,WSW
2013-01-06 08:00:00,Albay,1621.0,248.19,WSW
2013-01-06 11:00:00,Albay,1651.21,248.67,WSW
2013-01-06 14:00:00,Albay,1675.88,248.63,WSW
2013-01-06 17:00:00,Albay,1706.18,249.08,WSW
2013-01-06 20:00:00,Albay,1740.96,249.18,WSW
2013-01-06 23:00:00,Albay,1765.63,249.14,WSW
2013-01-07 02:00:00,Albay,1794.78,248.76,WSW
2013-01-07 05:00:00,Albay,1824.02,248.4,WSW
2013-01-07 08:00:00,Albay,1838.66,248.22,WSW
2013-01-07 11:00:00,Albay,1853.33,248.05,WSW
2013-01-07 14:00:00,Albay,1857.99,247.73,WSW
2013-01-07 17:00:00,Albay,1867.47,247.1,WSW
2013-01-07 20:00:00,Albay,1872.28,246.79,WSW
2013-01-07 23:00:00,Albay,1877.15,246.48,WSW
2013-01-08 02:00:00,Albay,1882.07,246.17,WSW
2013-01-08 05:00:00,Albay,1872.17,246.02,WSW
2013-01-08 08:00:00,Albay,1877.17,245.71,WSW
2013-01-08 11:00:00,Albay,1867.69,244.79,WSW
2013-01-08 14:00:00,Albay,1848.95,243.68,WSW
2013-01-08 17:00:00,Albay,1844.65,243.21,WSW
2013-01-08 20:00:00,Albay,1836.4,242.25,WSW
2013-01-08 23:00:00,Albay,1824.9,240.8,WSW
2013-01-09 02:00:00,Albay,1808.49,239.64,WSW
2013-01-09 05:00:00,Albay,1783.56,238.25,WSW
2013-01-09 08:00:00,Albay,1762.33,237.34,WSW
2013-01-09 11:00:00,Albay,1766.04,236.53,WSW
2013-01-09 14:00:00,Albay,1754.56,235.8,SW
2013-01-09 17:00:00,Albay,1741.19,234.55,SW
2013-01-09 20:00:00,Albay,1737.31,233.51,SW
2013-01-09 23:00:00,Albay,1733.95,232.47,SW
2013-01-10 02:00:00,Albay,1739.62,231.66,SW
2013-01-10 05:00:00,Albay,1722.69,231.18,SW
2013-01-10 08:00:00,Albay,1690.2,230.72,SW
2013-01-01 08:00:00,Antique,2220.81,106.77,ESE
2013-01-01 11:00:00,Antique,2112.68,107.5,ESE
2013-01-01 14:00:00,Antique,1998.46,108.71,ESE
2013-01-01 17:00:00,Antique,1880.92,109.73,ESE
2013-01-01 20:00:00,Antique,1759.68,110.55,ESE
2013-01-01 23:00:00,Antique,1634.43,111.11,ESE
2013-01-02 02:00:00,Antique,1504.97,111.36,ESE
2013-01-02 05:00:00,Antique,1365.46,111.84,ESE
2013-01-02 08:00:00,Antique,1240.75,112.67,ESE
2013-01-02 11:00:00,Antique,1111.7,113.14,ESE
2013-01-02 14:00:00,Antique,987.55,114.3,ESE
2013-01-02 17:00:00,Antique,873.78,115.44,ESE
2013-01-02 20:00:00,Antique,760.47,116.91,ESE
2013-01-02 23:00:00,Antique,657.41,118.37,ESE
2013-01-03 02:00:00,Antique,551.48,121.93,ESE
2013-01-03 05:00:00,Antique,424.38,127.74,SE
2013-01-03 08:00:00,Antique,306.51,141.11,SE
2013-01-03 11:00:00,Antique,235.78,165.14,SSE
2013-01-03 14:00:00,Antique,225.05,195.58,SSW
2013-01-03 17:00:00,Antique,284.28,216.83,SW
2013-01-03 20:00:00,Antique,343.93,228.69,SW
2013-01-03 23:00:00,Antique,429.01,236.42,WSW
2013-01-04 02:00:00,Antique,504.19,242.05,WSW
2013-01-04 05:00:00,Antique,587.59,245.22,WSW
2013-01-04 08:00:00,Antique,647.7,247.75,WSW
2013-01-04 11:00:00,Antique,708.83,249.86,WSW
2013-01-04 14:00:00,Antique,774.49,250.86,WSW
2013-01-04 17:00:00,Antique,840.35,251.71,WSW
2013-01-04 20:00:00,Antique,892.39,252.9,WSW
2013-01-04 23:00:00,Antique,958.6,253.52,WSW
2013-01-05 02:00:00,Antique,1011.11,254.48,WSW
2013-01-05 05:00:00,Antique,1067.0,254.77,WSW
2013-01-05 08:00:00,Antique,1122.93,255.04,WSW
2013-01-05 11:00:00,Antique,1168.32,255.14,WSW
2013-01-05 14:00:00,Antique,1203.17,255.08,WSW
2013-01-05 17:00:00,Antique,1238.02,255.02,WSW
2013-01-05 20:00:00,Antique,1259.14,255.31,WSW
2013-01-05 23:00:00,Antique,1297.21,254.78,WSW
2013-01-06 02:00:00,Antique,1321.56,254.6,WSW
2013-01-06 05:00:00,Antique,1342.64,254.88,WSW
2013-01-06 08:00:00,Antique,1353.19,255.02,WSW
2013-01-06 11:00:00,Antique,1384.88,255.42,WSW
2013-01-06 14:00:00,Antique,1409.19,255.24,WSW
2013-01-06 17:00:00,Antique,1440.91,255.62,WSW
2013-01-06 20:00:00,Antique,1475.8,255.57,WSW
2013-01-06 23:00:00,Antique,1500.12,255.4,WSW
2013-01-07 02:00:00,Antique,1527.71,254.83,WSW
2013-01-07 05:00:00,Antique,1555.46,254.29,WSW
2013-01-07 08:00:00,Antique,1569.39,254.02,WSW
2013-01-07 11:00:00,Antique,1583.36,253.76,WSW
2013-01-07 14:00:00,Antique,1586.88,253.37,WSW
2013-01-07 17:00:00,Antique,1594.15,252.61,WSW
2013-01-07 20:00:00,Antique,1597.88,252.23,WSW
2013-01-07 23:00:00,Antique,1601.68,251.85,WSW
2013-01-08 02:00:00,Antique,1605.54,251.47,WSW
2013-01-08 05:00:00,Antique,1595.19,251.33,WSW
2013-01-08 08:00:00,Antique,1599.15,250.96,WSW
2013-01-08 11:00:00,Antique,1586.72,249.91,WSW
2013-01-08 14:00:00,Antique,1564.6,248.69,WSW
2013-01-08 17:00:00,Antique,1558.86,248.14,WSW
2013-01-08 20:00:00,Antique,1547.78,247.05,WSW
2013-01-08 23:00:00,Antique,1532.17,245.38,WSW
2013-01-09 02:00:00,Antique,1512.61,244.06,WSW
2013-01-09 05:00:00,Antique,1484.14,242.49,WSW
2013-01-09 08:00:00,Antique,1460.7,241.46,WSW
2013-01-09 11:00:00,Antique,1462.44,240.48,WSW
2013-01-09 14:00:00,Antique,1449.3,239.65,WSW
2013-01-09 17:00:00,Antique,1433.18,238.18,WSW
2013-01-09 20:00:00,Antique,1427.12,236.93,WSW
2013-01-09 23:00:00,Antique,1421.71,235.68,SW
2013-01-10 02:00:00,Antique,1425.84,234.68,SW
2013-01-10 05:00:00,Antique,1408.08,234.14,SW
2013-01-10 08:00:00,Antique,1374.85,233.67,SW
2013-01-01 08:00:00,Apayao,2610.07,122.17,ESE
2013-01-01 11:00:00,Apayao,2514.47,123.49,ESE
2013-01-01 14:00:00,Apayao,2418.35,125.27,SE
2013-01-01 17:00:00,Apayao,2317.2,126.98,SE
2013-01-01 20:00:00,Apayao,2210.59,128.61,SE
2013-01-01 23:00:00,Apayao,2098.09,130.17,SE
2013-01-02 02:00:00,Apayao,1979.34,131.66,SE
2013-01-02 05:00:00,Apayao,1854.25,133.57,SE
2013-01-02 08:00:00,Apayao,1746.96,135.71,SE
2013-01-02 11:00:00,Apayao,1633.63,137.85,SE
2013-01-02 14:00:00,Apayao,1531.51,140.55,SE
2013-01-02 17:00:00,Apayao,1439.27,143.24,SE
2013-01-02 20:00:00,Apayao,1350.38,146.28,SSE
