date,province,latitude,longitude,wind_speed_10m_max,wind_gusts_10m_max,precipitation_hours,precipitation_sum
2024-09-15 00:00:00+00:00,Abra,17.60984,120.725334,12.24,25.919998,13.0,8.500001
2024-09-15 00:00:00+00:00,Agusan del Norte,8.963093,125.548836,12.594856,27.0,2.0,0.2
2024-09-15 00:00:00+00:00,Agusan del Sur,8.611599,125.938034,16.418526,43.56,1.0,0.1
2024-09-15 00:00:00+00:00,Aklan,11.704745,122.361359,31.700449,54.719997,24.0,34.5
2024-09-15 00:00:00+00:00,Albay,13.110721,123.770493,21.868332,47.16,24.0,11.900001
2024-09-15 00:00:00+00:00,Antique,10.720562,121.961136,29.749592,57.6,24.0,43.899998
2024-09-15 00:00:00+00:00,Apayao,17.820738,121.425804,10.086427,24.84,18.0,11.900002
2024-09-15 00:00:00+00:00,Aurora,15.782074,121.5,14.044615,30.239998,18.0,7.8999996
2024-09-15 00:00:00+00:00,Basilan,6.713532,122.018501,23.565569,46.8,8.0,1.3000001
2024-09-15 00:00:00+00:00,Bataan,14.657293,120.529739,13.708391,28.8,7.0,1.7000002
2024-09-15 00:00:00+00:00,Batanes,20.421791,121.961777,32.409996,41.760002,6.0,10.3
2024-09-15 00:00:00+00:00,Batangas,13.743409,121.074379,25.922499,49.68,18.0,2.9999995
2024-09-15 00:00:00+00:00,Benguet,16.48506,120.685715,10.966713,33.48,10.0,2.6
2024-09-15 00:00:00+00:00,Biliran,11.564148,124.473213,21.407139,59.039997,24.0,36.4
2024-09-15 00:00:00+00:00,Bohol,9.66608,123.897125,30.037897,65.159996,15.0,2.8999996
2024-09-15 00:00:00+00:00,Bukidnon,8.119508,125.183914,13.905509,38.16,23.0,10.700003
2024-09-15 00:00:00+00:00,Bulacan,14.86819,120.782852,16.1198,30.960001,10.0,3.7
2024-09-15 00:00:00+00:00,Cagayan,17.60984,121.682785,11.165805,21.599998,18.0,12.8
2024-09-15 00:00:00+00:00,Camarines Norte,14.094903,122.96125,13.363711,34.2,12.0,9.599999
2024-09-15 00:00:00+00:00,Camarines Sur,13.602812,123.244728,15.978484,37.079998,22.0,23.100002
2024-09-15 00:00:00+00:00,Camiguin,9.244288,124.735474,26.072052,72.36,21.0,8.199999
2024-09-15 00:00:00+00:00,Capiz,11.564148,122.785713,15.137133,41.760002,21.0,7.899999
2024-09-15 00:00:00+00:00,Catanduanes,13.602812,124.317139,18.214718,43.199997,15.0,7.0
2024-09-15 00:00:00+00:00,Cavite,14.305799,120.888069,23.132626,42.12,6.0,1.2
2024-09-15 00:00:00+00:00,Cebu,10.29877,123.769775,26.749235,66.6,21.0,4.4999995
2024-09-15 00:00:00+00:00,Cotabato,6.994728,125.0886,9.957108,29.88,13.0,8.6
2024-09-15 00:00:00+00:00,Davao Occidental,6.432337,125.532265,13.513193,33.48,11.0,5.7000003
2024-09-15 00:00:00+00:00,Davao Oriental,6.924429,126.273178,19.852295,39.6,1.0,0.1
2024-09-15 00:00:00+00:00,Davao de Oro,7.627417,125.969391,19.174856,42.839996,3.0,0.4
2024-09-15 00:00:00+00:00,Davao del Norte,7.41652,125.801529,17.163355,38.519997,9.0,1.2
2024-09-15 00:00:00+00:00,Davao del Sur,6.783832,125.378792,24.933735,54.0,7.0,1.2
2024-09-15 00:00:00+00:00,Dinagat Islands,10.087873,125.574059,34.778683,74.88,16.0,3.4999998
2024-09-15 00:00:00+00:00,Eastern Samar,11.634446,125.388748,25.071096,55.44,15.0,16.1
2024-09-15 00:00:00+00:00,Guimaras,10.579965,122.619049,35.261623,64.439995,24.0,16.0
2024-09-15 00:00:00+00:00,Ifugao,16.836554,121.17704,7.42159,22.319998,19.0,19.8
2024-09-15 00:00:00+00:00,Ilocos Norte,18.172232,120.614037,9.83268,21.599998,8.0,5.0
2024-09-15 00:00:00+00:00,Ilocos Sur,17.539541,120.434784,10.24578,21.96,8.0,2.4999998
2024-09-15 00:00:00+00:00,Iloilo,11.001758,122.632973,25.809765,53.639996,14.0,3.2999997
2024-09-15 00:00:00+00:00,Isabela,17.11775,121.902016,9.346143,18.359999,19.0,21.200003
2024-09-15 00:00:00+00:00,Kalinga,17.469244,121.447876,8.4963045,22.68,15.0,15.200002
2024-09-15 00:00:00+00:00,La Union,16.625658,120.314888,13.1041975,24.119999,9.0,2.8000002
2024-09-15 00:00:00+00:00,Laguna,14.305799,121.470863,21.03152,44.639996,23.0,9.099999
2024-09-15 00:00:00+00:00,Lanao del Norte,8.260105,124.318771,12.9249525,44.639996,6.0,1.7
2024-09-15 00:00:00+00:00,Lanao del Sur,7.97891,124.355255,22.90743,49.32,19.0,9.300003
2024-09-15 00:00:00+00:00,Leyte,11.212654,124.959999,12.620554,39.96,11.0,3.7999997
2024-09-15 00:00:00+00:00,Maguindanao del Norte,6.994728,124.40506,12.10157,30.960001,11.0,3.3999996
2024-09-15 00:00:00+00:00,Maguindanao del Sur,6.713532,124.819176,10.296251,30.239998,13.0,3.8
2024-09-15 00:00:00+00:00,Marinduque,13.462214,121.866425,19.829433,45.0,12.0,3.6
2024-09-15 00:00:00+00:00,Masbate,12.196836,123.618362,32.427986,64.079994,24.0,22.100004
2024-09-15 00:00:00+00:00,Metro Manila,14.586995,121.002785,22.104116,44.639996,16.0,13.800001
2024-09-15 00:00:00+00:00,Misamis Occidental,8.471002,123.788658,12.758432,42.12,14.0,5.299999
2024-09-15 00:00:00+00:00,Misamis Oriental,8.471002,124.639168,11.879999,37.8,7.0,3.6999998
2024-09-15 00:00:00+00:00,Mountain Province,17.11775,120.864555,10.703569,28.8,16.0,6.0
2024-09-15 00:00:00+00:00,Negros Occidental,10.650264,122.965576,31.942772,62.279995,24.0,13.499998
2024-09-15 00:00:00+00:00,Negros Oriental,9.314587,123.28125,7.9526596,33.48,24.0,9.899998
2024-09-15 00:00:00+00:00,Northern Samar,12.478031,124.63414,29.055367,59.76,19.0,3.7999995
2024-09-15 00:00:00+00:00,Nueva Ecija,15.500878,120.958641,12.538134,29.88,12.0,7.2
2024-09-15 00:00:00+00:00,Nueva Vizcaya,16.48506,121.200005,5.4477882,22.68,17.0,9.400001
2024-09-15 00:00:00+00:00,Occidental Mindoro,12.337434,121.163208,24.905132,51.839996,24.0,36.700005
2024-09-15 00:00:00+00:00,Oriental Mindoro,13.391915,121.096893,10.137692,27.72,9.0,8.099999
2024-09-15 00:00:00+00:00,Palawan,9.73638,118.664917,18.511143,48.239998,16.0,16.699999
