Year,Storm,Province,Damage to Infrastructure (PhP)
2025,Dante,Abra,0.0
2025,Dante,Agusan del Norte,0.0
2025,Dante,Aklan,0.0
2025,Dante,Albay,0.0
2025,Dante,Antique,0.0
2025,Dante,Apayao,0.0
2025,Dante,Aurora,0.0
2025,Dante,Basilan,0.0
2025,Dante,Bataan,0.0
2025,Dante,Batangas,0.0
2025,Dante,Benguet,0.0
2025,Dante,Bohol,0.0
2025,Dante,Bukidnon,0.0
2025,Dante,Bulacan,0.0
2025,Dante,Cagayan,0.0
2025,Dante,Camarines Norte,0.0
2025,Dante,Camarines Sur,0.0
2025,Dante,Camiguin,0.0
2025,Dante,Capiz,0.0
2025,Dante,Catanduanes,0.0
2025,Dante,Cavite,0.0
2025,Dante,Cebu,0.0
2025,Dante,Davao Occidental,0.0
2025,Dante,Davao del Sur,0.0
2025,Dante,Dinagat Islands,0.0
2025,Dante,Ifugao,0.0
2025,Dante,Ilocos Norte,0.0
2025,Dante,Ilocos Sur,0.0
2025,Dante,Iloilo,0.0
2025,Dante,Isabela,0.0
2025,Dante,Kalinga,0.0
2025,Dante,La Union,0.0
2025,Dante,Laguna,0.0
2025,Dante,Lanao del Norte,0.0
2025,Dante,Lanao del Sur,0.0
2025,Dante,Maguindanao del Norte,0.0
2025,Dante,Maguindanao del Sur,0.0
2025,Dante,Masbate,0.0
2025,Dante,Misamis Oriental,0.0
2025,Dante,Negros Occidental,0.0
2025,Dante,Nueva Ecija,0.0
2025,Dante,Nueva Vizcaya,0.0
2025,Dante,Occidental Mindoro,0.0
2025,Dante,Palawan,0.0
2025,Dante,Pampanga,0.0
2025,Dante,Pangasinan,0.0
2025,Dante,Quezon,0.0
2025,Dante,Rizal,0.0
2025,Dante,Sarangani,0.0
2025,Dante,South Cotabato,0.0
2025,Dante,Sultan Kudarat,0.0
2025,Dante,Surigao del Norte,0.0
2025,Dante,Tarlac,0.0
2025,Dante,Tawi-Tawi,0.0
2025,Dante,Zambales,0.0
2025,Dante,Zamboanga Sibugay,0.0
2025,Dante,Zamboanga del Norte,0.0
2025,Dante,Zamboanga del Sur,0.0
