Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2017-12-13 02:00:00,Abra,1305.74,124.06,SE
2017-12-13 05:00:00,Abra,1259.6,123.73,ESE
2017-12-13 08:00:00,Abra,1217.89,124.52,SE
2017-12-13 11:00:00,Abra,1176.42,125.36,SE
2017-12-13 14:00:00,Abra,1135.19,126.26,SE
2017-12-13 17:00:00,Abra,1102.71,126.87,SE
2017-12-13 20:00:00,Abra,1077.46,127.96,SE
2017-12-13 23:00:00,Abra,1052.58,129.11,SE
2017-12-14 02:00:00,Abra,1043.66,130.36,SE
2017-12-14 05:00:00,Abra,1043.16,131.22,SE
2017-12-14 08:00:00,Abra,1050.78,131.66,SE
2017-12-14 11:00:00,Abra,1050.78,131.66,SE
2017-12-14 14:00:00,Abra,1050.78,131.66,SE
2017-12-14 17:00:00,Abra,1050.78,131.66,SE
2017-12-14 20:00:00,Abra,1035.21,131.63,SE
2017-12-14 23:00:00,Abra,1035.21,131.63,SE
2017-12-15 02:00:00,Abra,1027.61,131.18,SE
2017-12-15 05:00:00,Abra,1020.06,130.72,SE
2017-12-15 08:00:00,Abra,1020.69,129.84,SE
2017-12-15 11:00:00,Abra,1005.17,129.78,SE
2017-12-15 14:00:00,Abra,1005.17,129.78,SE
2017-12-15 17:00:00,Abra,1005.17,129.78,SE
2017-12-15 20:00:00,Abra,989.65,129.72,SE
2017-12-15 23:00:00,Abra,950.47,130.02,SE
2017-12-16 02:00:00,Abra,903.29,130.8,SE
2017-12-16 05:00:00,Abra,871.82,131.71,SE
2017-12-16 08:00:00,Abra,856.12,132.71,SE
2017-12-16 11:00:00,Abra,833.05,134.27,SE
2017-12-16 14:00:00,Abra,818.8,136.46,SE
2017-12-16 17:00:00,Abra,797.25,138.19,SE
2017-12-16 20:00:00,Abra,791.91,139.92,SE
2017-12-16 23:00:00,Abra,778.44,141.17,SE
2017-12-17 02:00:00,Abra,758.92,143.12,SE
2017-12-17 05:00:00,Abra,740.29,145.17,SE
2017-12-17 08:00:00,Abra,716.96,148.06,SSE
2017-12-17 11:00:00,Abra,686.19,154.79,SSE
2017-12-17 14:00:00,Abra,679.25,161.44,SSE
2017-12-17 17:00:00,Abra,683.55,167.24,SSE
2017-12-17 20:00:00,Abra,695.92,172.03,S
2017-12-17 23:00:00,Abra,723.41,177.55,S
2017-12-18 02:00:00,Abra,756.49,181.8,S
2017-12-18 05:00:00,Abra,781.2,184.96,S
2017-12-18 08:00:00,Abra,797.06,188.04,S
2017-12-18 11:00:00,Abra,804.12,191.14,S
2017-12-18 14:00:00,Abra,821.72,193.25,SSW
2017-12-18 17:00:00,Abra,835.52,196.92,SSW
2017-12-18 20:00:00,Abra,866.69,200.89,SSW
2017-12-18 23:00:00,Abra,907.48,203.66,SSW
2017-12-19 02:00:00,Abra,960.19,205.91,SSW
2017-12-19 05:00:00,Abra,989.39,207.94,SSW
2017-12-19 08:00:00,Abra,1024.29,209.03,SSW
2017-12-19 11:00:00,Abra,1064.87,210.56,SSW
2017-12-19 14:00:00,Abra,1106.12,211.98,SSW
2017-12-19 17:00:00,Abra,1151.69,212.55,SSW
2017-12-19 20:00:00,Abra,1193.78,213.81,SW
2017-12-19 23:00:00,Abra,1227.13,215.27,SW
2017-12-20 02:00:00,Abra,1276.63,216.78,SW
2017-12-20 05:00:00,Abra,1313.91,217.4,SW
2017-12-20 08:00:00,Abra,1357.88,218.37,SW
2017-12-20 11:00:00,Abra,1395.52,218.91,SW
2017-12-20 14:00:00,Abra,1440.03,219.79,SW
2017-12-20 17:00:00,Abra,1469.26,220.54,SW
2017-12-20 20:00:00,Abra,1507.34,221.0,SW
2017-12-20 23:00:00,Abra,1551.13,222.34,SW
2017-12-21 02:00:00,Abra,1604.01,223.34,SW
2017-12-21 05:00:00,Abra,1641.66,224.25,SW
2017-12-21 08:00:00,Abra,1687.21,225.41,SW
2017-12-21 11:00:00,Abra,1725.69,226.24,SW
2017-12-21 14:00:00,Abra,1756.74,226.77,SW
2017-12-21 17:00:00,Abra,1795.73,227.54,SW
2017-12-21 20:00:00,Abra,1827.11,228.04,SW
2017-12-21 23:00:00,Abra,1882.24,228.75,SW
2017-12-22 02:00:00,Abra,1930.01,229.66,SW
2017-12-22 05:00:00,Abra,1977.03,229.61,SW
2017-12-22 08:00:00,Abra,2024.58,230.01,SW
2017-12-22 11:00:00,Abra,2056.54,230.42,SW
2017-12-22 14:00:00,Abra,2104.27,230.8,SW
2017-12-22 17:00:00,Abra,2143.84,230.96,SW
2017-12-22 20:00:00,Abra,2199.1,231.09,SW
2017-12-22 23:00:00,Abra,2246.13,231.02,SW
2017-12-23 02:00:00,Abra,2293.18,230.95,SW
2017-12-23 05:00:00,Abra,2324.55,230.91,SW
2017-12-23 08:00:00,Abra,2339.52,230.5,SW
2017-12-23 11:00:00,Abra,2369.8,229.69,SW
2017-12-23 14:00:00,Abra,2384.79,228.9,SW
2017-12-23 17:00:00,Abra,2392.36,228.32,SW
2017-12-23 20:00:00,Abra,2384.45,228.13,SW
2017-12-23 23:00:00,Abra,2384.43,227.74,SW
2017-12-24 02:00:00,Abra,2392.32,227.55,SW
2017-12-13 02:00:00,Agusan del Norte,581.99,68.89,ENE
2017-12-13 05:00:00,Agusan del Norte,564.44,64.55,ENE
2017-12-13 08:00:00,Agusan del Norte,530.19,61.48,ENE
2017-12-13 11:00:00,Agusan del Norte,497.7,58.0,ENE
2017-12-13 14:00:00,Agusan del Norte,467.36,54.05,NE
2017-12-13 17:00:00,Agusan del Norte,448.01,50.47,NE
2017-12-13 20:00:00,Agusan del Norte,423.1,47.68,NE
2017-12-13 23:00:00,Agusan del Norte,399.34,44.54,NE
2017-12-14 02:00:00,Agusan del Norte,376.15,43.39,NE
2017-12-14 05:00:00,Agusan del Norte,360.58,43.36,NE
2017-12-14 08:00:00,Agusan del Norte,352.63,44.62,NE
2017-12-14 11:00:00,Agusan del Norte,352.63,44.62,NE
2017-12-14 14:00:00,Agusan del Norte,352.63,44.62,NE
2017-12-14 17:00:00,Agusan del Norte,352.63,44.62,NE
2017-12-14 20:00:00,Agusan del Norte,353.12,42.09,NE
2017-12-14 23:00:00,Agusan del Norte,353.12,42.09,NE
2017-12-15 02:00:00,Agusan del Norte,361.4,40.9,NE
2017-12-15 05:00:00,Agusan del Norte,369.83,39.76,NE
2017-12-15 08:00:00,Agusan del Norte,385.36,39.93,NE
2017-12-15 11:00:00,Agusan del Norte,387.1,37.63,NE
2017-12-15 14:00:00,Agusan del Norte,387.1,37.63,NE
2017-12-15 17:00:00,Agusan del Norte,387.1,37.63,NE
2017-12-15 20:00:00,Agusan del Norte,389.46,35.36,NE
2017-12-15 23:00:00,Agusan del Norte,390.47,29.56,NNE
2017-12-16 02:00:00,Agusan del Norte,391.17,22.39,NNE
2017-12-16 05:00:00,Agusan del Norte,390.42,17.33,NNE
2017-12-16 08:00:00,Agusan del Norte,384.44,14.24,NNE
2017-12-16 11:00:00,Agusan del Norte,377.67,9.44,N
2017-12-16 14:00:00,Agusan del Norte,362.59,4.64,N
2017-12-16 17:00:00,Agusan del Norte,361.4,359.48,N
2017-12-16 20:00:00,Agusan del Norte,351.17,355.91,N
2017-12-16 23:00:00,Agusan del Norte,353.4,352.39,N
2017-12-17 02:00:00,Agusan del Norte,359.24,347.23,NNW
2017-12-17 05:00:00,Agusan del Norte,367.91,342.27,NNW
2017-12-17 08:00:00,Agusan del Norte,383.56,336.07,NNW
2017-12-17 11:00:00,Agusan del Norte,417.68,324.48,NW
2017-12-17 14:00:00,Agusan del Norte,450.68,314.93,NW
2017-12-17 17:00:00,Agusan del Norte,485.76,307.65,NW
2017-12-17 20:00:00,Agusan del Norte,518.38,302.05,WNW
2017-12-17 23:00:00,Agusan del Norte,560.48,295.64,WNW
2017-12-18 02:00:00,Agusan del Norte,598.42,290.53,WNW
2017-12-18 05:00:00,Agusan del Norte,633.12,287.3,WNW
2017-12-18 08:00:00,Agusan del Norte,672.35,285.34,WNW
2017-12-18 11:00:00,Agusan del Norte,714.81,284.47,WNW
2017-12-18 14:00:00,Agusan del Norte,744.38,283.05,WNW
2017-12-18 17:00:00,Agusan del Norte,797.97,282.24,WNW
2017-12-18 20:00:00,Agusan del Norte,860.59,280.68,W
2017-12-18 23:00:00,Agusan del Norte,911.49,278.73,W
2017-12-19 02:00:00,Agusan del Norte,962.38,276.34,W
2017-12-19 05:00:00,Agusan del Norte,1005.22,275.49,W
2017-12-19 08:00:00,Agusan del Norte,1036.78,274.13,W
2017-12-19 11:00:00,Agusan del Norte,1079.88,272.84,W
2017-12-19 14:00:00,Agusan del Norte,1123.53,271.65,W
2017-12-19 17:00:00,Agusan del Norte,1156.94,269.99,W
2017-12-19 20:00:00,Agusan del Norte,1201.72,268.99,W
2017-12-19 23:00:00,Agusan del Norte,1246.21,268.57,W
2017-12-20 02:00:00,Agusan del Norte,1302.51,267.72,W
2017-12-20 05:00:00,Agusan del Norte,1337.17,266.86,W
2017-12-20 08:00:00,Agusan del Norte,1383.09,266.1,W
2017-12-20 11:00:00,Agusan del Norte,1418.33,265.33,W
2017-12-20 14:00:00,Agusan del Norte,1464.77,264.66,W
2017-12-20 17:00:00,Agusan del Norte,1499.0,264.4,W
2017-12-20 20:00:00,Agusan del Norte,1534.83,263.73,W
2017-12-20 23:00:00,Agusan del Norte,1591.02,263.62,W
2017-12-21 02:00:00,Agusan del Norte,1648.92,263.13,W
2017-12-21 05:00:00,Agusan del Norte,1694.28,262.99,W
2017-12-21 08:00:00,Agusan del Norte,1750.56,262.91,W
2017-12-21 11:00:00,Agusan del Norte,1795.96,262.79,W
2017-12-21 14:00:00,Agusan del Norte,1830.48,262.61,W
2017-12-21 17:00:00,Agusan del Norte,1875.92,262.5,W
2017-12-21 20:00:00,Agusan del Norte,1910.49,262.34,W
2017-12-21 23:00:00,Agusan del Norte,1968.81,261.98,W
2017-12-22 02:00:00,Agusan del Norte,2025.2,261.95,W
2017-12-22 05:00:00,Agusan del Norte,2064.05,261.19,W
2017-12-22 08:00:00,Agusan del Norte,2111.83,260.83,W
2017-12-22 11:00:00,Agusan del Norte,2146.6,260.71,W
2017-12-22 14:00:00,Agusan del Norte,2194.52,260.37,W
2017-12-22 17:00:00,Agusan del Norte,2231.71,259.98,W
2017-12-22 20:00:00,Agusan del Norte,2282.29,259.39,W
2017-12-22 23:00:00,Agusan del Norte,2322.35,258.76,W
2017-12-23 02:00:00,Agusan del Norte,2362.68,258.15,WSW
2017-12-23 05:00:00,Agusan del Norte,2389.71,257.76,WSW
2017-12-23 08:00:00,Agusan del Norte,2395.41,257.23,WSW
2017-12-23 11:00:00,Agusan del Norte,2407.37,256.18,WSW
2017-12-23 14:00:00,Agusan del Norte,2406.19,255.33,WSW
2017-12-23 17:00:00,Agusan del Norte,2402.14,254.73,WSW
2017-12-23 20:00:00,Agusan del Norte,2391.55,254.65,WSW
2017-12-23 23:00:00,Agusan del Norte,2384.34,254.3,WSW
2017-12-24 02:00:00,Agusan del Norte,2387.76,254.04,WSW
2017-12-13 02:00:00,Agusan del Sur,558.69,63.66,ENE
2017-12-13 05:00:00,Agusan del Sur,545.35,59.0,ENE
2017-12-13 08:00:00,Agusan del Sur,514.26,55.47,NE
2017-12-13 11:00:00,Agusan del Sur,485.41,51.51,NE
2017-12-13 14:00:00,Agusan del Sur,459.23,47.06,NE
2017-12-13 17:00:00,Agusan del Sur,443.63,43.14,NE
2017-12-13 20:00:00,Agusan del Sur,421.75,39.92,NE
2017-12-13 23:00:00,Agusan del Sur,401.37,36.36,NE
2017-12-14 02:00:00,Agusan del Sur,379.58,34.73,NE
2017-12-14 05:00:00,Agusan del Sur,364.22,34.33,NE
2017-12-14 08:00:00,Agusan del Sur,355.13,35.35,NE
2017-12-14 11:00:00,Agusan del Sur,355.13,35.35,NE
2017-12-14 14:00:00,Agusan del Sur,355.13,35.35,NE
2017-12-14 17:00:00,Agusan del Sur,355.13,35.35,NE
2017-12-14 20:00:00,Agusan del Sur,358.14,32.89,NNE
2017-12-14 23:00:00,Agusan del Sur,358.14,32.89,NNE
2017-12-15 02:00:00,Agusan del Sur,367.49,31.94,NNE
2017-12-15 05:00:00,Agusan del Sur,376.94,31.04,NNE
2017-12-15 08:00:00,Agusan del Sur,392.12,31.55,NNE
2017-12-15 11:00:00,Agusan del Sur,396.1,29.36,NNE
2017-12-15 14:00:00,Agusan del Sur,396.1,29.36,NNE
2017-12-15 17:00:00,Agusan del Sur,396.1,29.36,NNE
2017-12-15 20:00:00,Agusan del Sur,400.65,27.22,NNE
2017-12-15 23:00:00,Agusan del Sur,407.21,21.69,NNE
2017-12-16 02:00:00,Agusan del Sur,414.48,14.95,NNE
2017-12-16 05:00:00,Agusan del Sur,418.14,10.23,N
2017-12-16 08:00:00,Agusan del Sur,414.8,7.27,N
2017-12-16 11:00:00,Agusan del Sur,411.91,2.77,N
2017-12-16 14:00:00,Agusan del Sur,400.51,358.18,N
2017-12-16 17:00:00,Agusan del Sur,402.89,353.54,N
2017-12-16 20:00:00,Agusan del Sur,394.99,350.22,N
2017-12-16 23:00:00,Agusan del Sur,399.31,347.14,NNW
2017-12-17 02:00:00,Agusan del Sur,407.91,342.67,NNW
2017-12-17 05:00:00,Agusan del Sur,418.9,338.41,NNW
2017-12-17 08:00:00,Agusan del Sur,436.98,333.1,NNW
2017-12-17 11:00:00,Agusan del Sur,474.21,323.09,NW
2017-12-17 14:00:00,Agusan del Sur,508.28,314.71,NW
2017-12-17 17:00:00,Agusan del Sur,543.23,308.21,NW
2017-12-17 20:00:00,Agusan del Sur,575.18,303.14,WNW
2017-12-17 23:00:00,Agusan del Sur,615.89,297.24,WNW
2017-12-18 02:00:00,Agusan del Sur,652.26,292.47,WNW
2017-12-18 05:00:00,Agusan del Sur,685.75,289.4,WNW
2017-12-18 08:00:00,Agusan del Sur,724.14,287.47,WNW
2017-12-18 11:00:00,Agusan del Sur,766.2,286.54,WNW
2017-12-18 14:00:00,Agusan del Sur,795.11,285.14,WNW
2017-12-18 17:00:00,Agusan del Sur,848.29,284.25,WNW
2017-12-18 20:00:00,Agusan del Sur,910.11,282.63,WNW
2017-12-18 23:00:00,Agusan del Sur,959.98,280.69,W
2017-12-19 02:00:00,Agusan del Sur,1009.53,278.31,W
2017-12-19 05:00:00,Agusan del Sur,1051.86,277.42,W
2017-12-19 08:00:00,Agusan del Sur,1082.6,276.06,W
2017-12-19 11:00:00,Agusan del Sur,1124.9,274.75,W
2017-12-19 14:00:00,Agusan del Sur,1167.78,273.54,W
2017-12-19 17:00:00,Agusan del Sur,1200.11,271.89,W
2017-12-19 20:00:00,Agusan del Sur,1244.2,270.85,W
2017-12-19 23:00:00,Agusan del Sur,1288.39,270.38,W
2017-12-20 02:00:00,Agusan del Sur,1344.08,269.48,W
2017-12-20 05:00:00,Agusan del Sur,1378.13,268.61,W
2017-12-20 08:00:00,Agusan del Sur,1423.5,267.81,W
2017-12-20 11:00:00,Agusan del Sur,1458.18,267.02,W
2017-12-20 14:00:00,Agusan del Sur,1504.11,266.32,W
2017-12-20 17:00:00,Agusan del Sur,1538.14,266.02,W
2017-12-20 20:00:00,Agusan del Sur,1573.46,265.33,W
2017-12-20 23:00:00,Agusan del Sur,1629.55,265.17,W
2017-12-21 02:00:00,Agusan del Sur,1687.07,264.64,W
2017-12-21 05:00:00,Agusan del Sur,1732.3,264.46,W
2017-12-21 08:00:00,Agusan del Sur,1788.51,264.34,W
2017-12-21 11:00:00,Agusan del Sur,1833.8,264.18,W
2017-12-21 14:00:00,Agusan del Sur,1868.18,263.98,W
2017-12-21 17:00:00,Agusan del Sur,1913.52,263.84,W
2017-12-21 20:00:00,Agusan del Sur,1947.96,263.66,W
2017-12-21 23:00:00,Agusan del Sur,2005.99,263.26,W
2017-12-22 02:00:00,Agusan del Sur,2062.34,263.2,W
2017-12-22 05:00:00,Agusan del Sur,2100.6,262.43,W
2017-12-22 08:00:00,Agusan del Sur,2148.09,262.04,W
2017-12-22 11:00:00,Agusan del Sur,2182.76,261.91,W
2017-12-22 14:00:00,Agusan del Sur,2230.41,261.55,W
2017-12-22 17:00:00,Agusan del Sur,2267.28,261.15,W
2017-12-22 20:00:00,Agusan del Sur,2317.39,260.54,W
2017-12-22 23:00:00,Agusan del Sur,2356.94,259.9,W
2017-12-23 02:00:00,Agusan del Sur,2396.77,259.28,W
2017-12-23 05:00:00,Agusan del Sur,2423.47,258.88,W
2017-12-23 08:00:00,Agusan del Sur,2428.75,258.35,WSW
2017-12-23 11:00:00,Agusan del Sur,2439.85,257.31,WSW
2017-12-23 14:00:00,Agusan del Sur,2437.96,256.47,WSW
2017-12-23 17:00:00,Agusan del Sur,2433.41,255.88,WSW
2017-12-23 20:00:00,Agusan del Sur,2422.75,255.8,WSW
2017-12-23 23:00:00,Agusan del Sur,2415.25,255.47,WSW
2017-12-24 02:00:00,Agusan del Sur,2418.45,255.21,WSW
2017-12-13 02:00:00,Aklan,892.56,95.63,E
2017-12-13 05:00:00,Aklan,856.38,93.69,E
2017-12-13 08:00:00,Aklan,811.94,93.18,E
2017-12-13 11:00:00,Aklan,767.6,92.62,E
2017-12-13 14:00:00,Aklan,723.37,91.98,E
2017-12-13 17:00:00,Aklan,690.16,91.21,E
2017-12-13 20:00:00,Aklan,657.5,91.33,E
2017-12-13 23:00:00,Aklan,624.85,91.46,E
2017-12-14 02:00:00,Aklan,603.7,92.61,E
2017-12-14 05:00:00,Aklan,593.65,93.75,E
2017-12-14 08:00:00,Aklan,594.69,94.82,E
2017-12-14 11:00:00,Aklan,594.69,94.82,E
2017-12-14 14:00:00,Aklan,594.69,94.82,E
2017-12-14 17:00:00,Aklan,594.69,94.82,E
2017-12-14 20:00:00,Aklan,582.79,93.84,E
2017-12-14 23:00:00,Aklan,582.79,93.84,E
2017-12-15 02:00:00,Aklan,581.94,92.75,E
2017-12-15 05:00:00,Aklan,581.31,91.65,E
2017-12-15 08:00:00,Aklan,591.77,90.53,E
2017-12-15 11:00:00,Aklan,580.67,89.46,E
2017-12-15 14:00:00,Aklan,580.67,89.46,E
2017-12-15 17:00:00,Aklan,580.67,89.46,E
2017-12-15 20:00:00,Aklan,569.79,88.35,E
2017-12-15 23:00:00,Aklan,537.86,85.94,E
2017-12-16 02:00:00,Aklan,496.24,83.1,E
2017-12-16 05:00:00,Aklan,465.2,81.32,E
2017-12-16 08:00:00,Aklan,443.69,80.94,E
2017-12-16 11:00:00,Aklan,411.46,80.28,E
2017-12-16 14:00:00,Aklan,377.57,81.18,E
2017-12-16 17:00:00,Aklan,345.33,80.41,E
2017-12-16 20:00:00,Aklan,322.21,81.76,E
2017-12-16 23:00:00,Aklan,300.67,81.21,E
2017-12-17 02:00:00,Aklan,268.43,80.21,E
2017-12-17 05:00:00,Aklan,236.3,78.93,E
2017-12-17 08:00:00,Aklan,193.73,76.55,ENE
2017-12-17 11:00:00,Aklan,106.87,71.72,ENE
2017-12-17 14:00:00,Aklan,27.7,66.31,ENE
2017-12-17 17:00:00,Aklan,41.49,254.49,WSW
2017-12-17 20:00:00,Aklan,100.17,250.64,WSW
2017-12-17 23:00:00,Aklan,173.26,247.5,WSW
2017-12-18 02:00:00,Aklan,236.71,245.18,WSW
2017-12-18 05:00:00,Aklan,285.73,244.89,WSW
2017-12-18 08:00:00,Aklan,330.09,246.43,WSW
2017-12-18 11:00:00,Aklan,370.43,249.2,WSW
2017-12-18 14:00:00,Aklan,405.03,249.43,WSW
2017-12-18 17:00:00,Aklan,456.41,251.92,WSW
2017-12-18 20:00:00,Aklan,522.22,253.1,WSW
2017-12-18 23:00:00,Aklan,581.14,252.66,WSW
2017-12-19 02:00:00,Aklan,643.77,251.38,WSW
2017-12-19 05:00:00,Aklan,688.81,251.74,WSW
2017-12-19 08:00:00,Aklan,727.28,250.94,WSW
2017-12-19 11:00:00,Aklan,776.17,250.52,WSW
2017-12-19 14:00:00,Aklan,825.12,250.16,WSW
2017-12-19 17:00:00,Aklan,868.1,248.88,WSW
2017-12-19 20:00:00,Aklan,917.24,248.65,WSW
2017-12-19 23:00:00,Aklan,962.12,249.05,WSW
2017-12-20 02:00:00,Aklan,1021.45,249.08,WSW
2017-12-20 05:00:00,Aklan,1060.48,248.64,WSW
2017-12-20 08:00:00,Aklan,1109.72,248.47,WSW
2017-12-20 11:00:00,Aklan,1148.87,248.1,WSW
2017-12-20 14:00:00,Aklan,1198.18,247.96,WSW
2017-12-20 17:00:00,Aklan,1232.94,248.11,WSW
2017-12-20 20:00:00,Aklan,1272.18,247.79,WSW
2017-12-20 23:00:00,Aklan,1327.16,248.32,WSW
2017-12-21 02:00:00,Aklan,1386.63,248.39,WSW
2017-12-21 05:00:00,Aklan,1431.58,248.69,WSW
2017-12-21 08:00:00,Aklan,1486.74,249.14,WSW
2017-12-21 11:00:00,Aklan,1531.77,249.41,WSW
2017-12-21 14:00:00,Aklan,1566.64,249.5,WSW
2017-12-21 17:00:00,Aklan,1611.73,249.74,WSW
2017-12-21 20:00:00,Aklan,1646.62,249.83,WSW
2017-12-21 23:00:00,Aklan,1706.19,249.84,WSW
2017-12-22 02:00:00,Aklan,1761.57,250.2,WSW
2017-12-22 05:00:00,Aklan,1804.97,249.61,WSW
2017-12-22 08:00:00,Aklan,1854.4,249.5,WSW
2017-12-22 11:00:00,Aklan,1889.32,249.58,WSW
2017-12-22 14:00:00,Aklan,1938.77,249.48,WSW
2017-12-22 17:00:00,Aklan,1978.05,249.26,WSW
2017-12-22 20:00:00,Aklan,2031.97,248.88,WSW
2017-12-22 23:00:00,Aklan,2075.86,248.4,WSW
2017-12-23 02:00:00,Aklan,2119.9,247.93,WSW
2017-12-23 05:00:00,Aklan,2149.34,247.63,WSW
2017-12-23 08:00:00,Aklan,2158.77,247.09,WSW
2017-12-23 11:00:00,Aklan,2178.16,246.01,WSW
2017-12-23 14:00:00,Aklan,2183.28,245.08,WSW
2017-12-23 17:00:00,Aklan,2183.71,244.41,WSW
2017-12-23 20:00:00,Aklan,2173.9,244.27,WSW
2017-12-23 23:00:00,Aklan,2169.35,243.87,WSW
2017-12-24 02:00:00,Aklan,2174.65,243.6,WSW
2017-12-13 02:00:00,Albay,780.61,108.66,ESE
2017-12-13 05:00:00,Albay,738.68,107.09,ESE
2017-12-13 08:00:00,Albay,693.77,107.36,ESE
2017-12-13 11:00:00,Albay,648.89,107.66,ESE
2017-12-13 14:00:00,Albay,604.04,108.0,ESE
2017-12-13 17:00:00,Albay,569.51,108.01,ESE
2017-12-13 20:00:00,Albay,538.71,109.15,ESE
2017-12-13 23:00:00,Albay,508.14,110.42,ESE
2017-12-14 02:00:00,Albay,492.22,112.55,ESE
2017-12-14 05:00:00,Albay,486.86,114.26,ESE
2017-12-14 08:00:00,Albay,491.68,115.44,ESE
2017-12-14 11:00:00,Albay,491.68,115.44,ESE
2017-12-14 14:00:00,Albay,491.68,115.44,ESE
2017-12-14 17:00:00,Albay,491.68,115.44,ESE
2017-12-14 20:00:00,Albay,477.01,114.82,ESE
2017-12-14 23:00:00,Albay,477.01,114.82,ESE
2017-12-15 02:00:00,Albay,472.3,113.6,ESE
2017-12-15 05:00:00,Albay,467.8,112.36,ESE
2017-12-15 08:00:00,Albay,473.65,110.6,ESE
2017-12-15 11:00:00,Albay,459.49,109.81,ESE
2017-12-15 14:00:00,Albay,459.49,109.81,ESE
2017-12-15 17:00:00,Albay,459.49,109.81,ESE
2017-12-15 20:00:00,Albay,445.43,108.97,ESE
2017-12-15 23:00:00,Albay,407.31,107.57,ESE
2017-12-16 02:00:00,Albay,359.12,106.38,ESE
2017-12-16 05:00:00,Albay,324.69,106.19,ESE
2017-12-16 08:00:00,Albay,303.96,107.38,ESE
2017-12-16 11:00:00,Albay,273.13,109.49,ESE
2017-12-16 14:00:00,Albay,247.24,114.5,ESE
2017-12-16 17:00:00,Albay,218.1,118.11,ESE
2017-12-16 20:00:00,Albay,205.28,123.74,ESE
2017-12-16 23:00:00,Albay,187.66,127.46,SE
2017-12-17 02:00:00,Albay,163.09,134.49,SE
2017-12-17 05:00:00,Albay,141.77,143.8,SE
2017-12-17 08:00:00,Albay,121.36,160.64,SSE
2017-12-17 11:00:00,Albay,134.04,200.42,SSW
2017-12-17 14:00:00,Albay,192.15,219.8,SW
2017-12-17 17:00:00,Albay,253.47,228.03,SW
2017-12-17 20:00:00,Albay,309.37,231.8,SW
2017-12-17 23:00:00,Albay,381.58,234.04,SW
2017-12-18 02:00:00,Albay,445.33,234.78,SW
2017-12-18 05:00:00,Albay,493.82,235.67,SW
2017-12-18 08:00:00,Albay,536.22,237.39,WSW
2017-12-18 11:00:00,Albay,573.2,239.81,WSW
2017-12-18 14:00:00,Albay,607.07,240.51,WSW
2017-12-18 17:00:00,Albay,654.77,242.95,WSW
2017-12-18 20:00:00,Albay,718.18,244.64,WSW
2017-12-18 23:00:00,Albay,777.07,244.98,WSW
2017-12-19 02:00:00,Albay,840.97,244.6,WSW
2017-12-19 05:00:00,Albay,885.16,245.24,WSW
2017-12-19 08:00:00,Albay,924.51,244.91,WSW
2017-12-19 11:00:00,Albay,973.71,244.89,WSW
2017-12-19 14:00:00,Albay,1022.92,244.88,WSW
2017-12-19 17:00:00,Albay,1067.47,244.08,WSW
2017-12-19 20:00:00,Albay,1116.74,244.11,WSW
2017-12-19 23:00:00,Albay,1160.91,244.64,WSW
2017-12-20 02:00:00,Albay,1220.01,244.89,WSW
2017-12-20 05:00:00,Albay,1259.53,244.67,WSW
2017-12-20 08:00:00,Albay,1308.87,244.69,WSW
2017-12-20 11:00:00,Albay,1348.45,244.49,WSW
2017-12-20 14:00:00,Albay,1397.82,244.52,WSW
2017-12-20 17:00:00,Albay,1432.3,244.74,WSW
2017-12-20 20:00:00,Albay,1471.91,244.56,WSW
2017-12-20 23:00:00,Albay,1526.03,245.16,WSW
2017-12-21 02:00:00,Albay,1585.3,245.35,WSW
2017-12-21 05:00:00,Albay,1629.73,245.71,WSW
2017-12-21 08:00:00,Albay,1684.13,246.22,WSW
2017-12-21 11:00:00,Albay,1728.7,246.54,WSW
2017-12-21 14:00:00,Albay,1763.37,246.69,WSW
2017-12-21 17:00:00,Albay,1808.02,246.99,WSW
2017-12-21 20:00:00,Albay,1842.73,247.12,WSW
2017-12-21 23:00:00,Albay,1902.19,247.24,WSW
2017-12-22 02:00:00,Albay,1956.94,247.64,WSW
2017-12-22 05:00:00,Albay,2001.2,247.17,WSW
2017-12-22 08:00:00,Albay,2050.73,247.15,WSW
2017-12-22 11:00:00,Albay,2085.49,247.27,WSW
2017-12-22 14:00:00,Albay,2135.03,247.24,WSW
2017-12-22 17:00:00,Albay,2174.62,247.09,WSW
2017-12-22 20:00:00,Albay,2229.06,246.81,WSW
2017-12-22 23:00:00,Albay,2273.65,246.41,WSW
2017-12-23 02:00:00,Albay,2318.35,246.03,WSW
2017-12-23 05:00:00,Albay,2348.2,245.79,WSW
2017-12-23 08:00:00,Albay,2358.41,245.3,WSW
2017-12-23 11:00:00,Albay,2379.3,244.32,WSW
2017-12-23 14:00:00,Albay,2385.67,243.47,WSW
2017-12-23 17:00:00,Albay,2386.97,242.86,WSW
2017-12-23 20:00:00,Albay,2377.34,242.73,WSW
2017-12-23 23:00:00,Albay,2373.31,242.35,WSW
2017-12-24 02:00:00,Albay,2378.93,242.12,WSW
2017-12-13 02:00:00,Antique,933.94,88.86,E
2017-12-13 05:00:00,Antique,901.54,86.75,E
2017-12-13 08:00:00,Antique,858.35,85.91,E
2017-12-13 11:00:00,Antique,815.39,84.99,E
2017-12-13 14:00:00,Antique,772.69,83.96,E
2017-12-13 17:00:00,Antique,741.15,82.89,E
2017-12-13 20:00:00,Antique,708.63,82.63,E
2017-12-13 23:00:00,Antique,676.14,82.33,E
