Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2024,Igme,Abra,0.0
2024,Igme,Aklan,18199542.97
2024,Igme,Albay,0.0
2024,Igme,Antique,147142163.18
2024,Igme,Aurora,0.0
2024,Igme,Basilan,0.0
2024,Igme,Bohol,0.0
2024,Igme,Bulacan,0.0
2024,Igme,Camarines Norte,0.0
2024,Igme,Camarines Sur,0.0
2024,Igme,Camiguin,0.0
2024,Igme,Capiz,12947320.0
2024,Igme,Cebu,0.0
2024,Igme,Cotabato,0.0
2024,Igme,Davao Occidental,0.0
2024,Igme,Davao Oriental,0.0
2024,Igme,Davao del Sur,0.0
2024,Igme,Dinagat Islands,0.0
2024,Igme,Guimaras,2147597.34
2024,Igme,Iloilo,0.0
2024,Igme,Isabela,0.0
2024,Igme,Kalinga,0.0
2024,Igme,Lanao del Norte,0.0
2024,Igme,Lanao del Sur,0.0
2024,Igme,Maguindanao del Norte,0.0
2024,Igme,Maguindanao del Sur,0.0
2024,Igme,Misamis Occidental,0.0
2024,Igme,Misamis Oriental,0.0
2024,Igme,Negros Occidental,140830614.47
2024,Igme,Negros Oriental,0.0
2024,Igme,Nueva Vizcaya,0.0
2024,Igme,Occidental Mindoro,312889449.25
2024,Igme,Oriental Mindoro,3359914.21
2024,Igme,Palawan,422179807.0
2024,Igme,Pampanga,0.0
2024,Igme,Quezon,0.0
2024,Igme,Quirino,0.0
2024,Igme,Rizal,0.0
2024,Igme,Romblon,1338400.0
2024,Igme,Sarangani,0.0
2024,Igme,Siquijor,0.0
2024,Igme,Sorsogon,0.0
2024,Igme,Sultan Kudarat,0.0
2024,Igme,Zambales,0.0
2024,Igme,Zamboanga Sibugay,1190730.0
2024,Igme,Zamboanga del Norte,0.0
2024,Igme,Zamboanga del Sur,0.0
