Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2017-09-03 20:00:00,Abra,1266.61,96.34,E
2017-09-03 23:00:00,Abra,1157.57,96.13,E
2017-09-04 02:00:00,Abra,1039.89,96.56,E
2017-09-04 05:00:00,Abra,934.71,97.61,E
2017-09-04 08:00:00,Abra,840.29,98.75,E
2017-09-04 11:00:00,Abra,777.51,99.65,E
2017-09-04 14:00:00,Abra,725.33,100.51,E
2017-09-04 17:00:00,Abra,650.01,100.96,E
2017-09-04 20:00:00,Abra,577.37,102.58,ESE
2017-09-04 23:00:00,Abra,533.29,102.53,ESE
2017-09-05 02:00:00,Abra,497.11,100.93,E
2017-09-05 05:00:00,Abra,459.56,97.71,E
2017-09-05 08:00:00,Abra,454.21,90.76,E
2017-09-05 11:00:00,Abra,426.69,80.4,E
2017-09-05 14:00:00,Abra,405.03,68.54,ENE
2017-09-05 17:00:00,Abra,363.96,56.19,NE
2017-09-05 20:00:00,Abra,313.32,41.51,NE
2017-09-05 23:00:00,Abra,294.49,24.83,NNE
2017-09-06 02:00:00,Abra,293.54,9.89,N
2017-09-06 05:00:00,Abra,289.24,1.72,N
2017-09-06 08:00:00,Abra,301.09,355.69,N
2017-09-06 11:00:00,Abra,316.05,350.18,N
2017-09-06 14:00:00,Abra,350.74,349.45,N
2017-09-06 17:00:00,Abra,403.96,352.37,N
2017-09-06 20:00:00,Abra,460.45,352.04,N
2017-09-06 23:00:00,Abra,500.69,347.9,NNW
2017-09-07 02:00:00,Abra,535.51,343.02,NNW
2017-09-07 05:00:00,Abra,573.59,342.07,NNW
2017-09-07 08:00:00,Abra,605.31,343.07,NNW
2017-09-07 11:00:00,Abra,645.07,345.13,NNW
2017-09-07 14:00:00,Abra,696.39,347.16,NNW
2017-09-07 17:00:00,Abra,746.51,349.67,N
2017-09-07 20:00:00,Abra,799.49,351.13,N
2017-09-07 23:00:00,Abra,852.94,352.41,N
2017-09-08 02:00:00,Abra,873.66,353.26,N
2017-09-03 20:00:00,Agusan del Norte,1081.68,42.88,NE
2017-09-03 23:00:00,Agusan del Norte,1027.18,37.72,NE
2017-09-04 02:00:00,Agusan del Norte,967.16,31.86,NNE
2017-09-04 05:00:00,Agusan del Norte,913.8,26.2,NNE
2017-09-04 08:00:00,Agusan del Norte,874.51,20.56,NNE
2017-09-04 11:00:00,Agusan del Norte,853.54,16.54,NNE
2017-09-04 14:00:00,Agusan del Norte,839.51,13.04,NNE
2017-09-04 17:00:00,Agusan del Norte,836.48,7.86,N
2017-09-04 20:00:00,Agusan del Norte,829.37,2.74,N
2017-09-04 23:00:00,Agusan del Norte,839.53,359.78,N
2017-09-05 02:00:00,Agusan del Norte,862.5,357.66,N
2017-09-05 05:00:00,Agusan del Norte,897.71,355.71,N
2017-09-05 08:00:00,Agusan del Norte,953.15,355.97,N
2017-09-05 11:00:00,Agusan del Norte,1033.44,354.52,N
2017-09-05 14:00:00,Agusan del Norte,1115.63,352.76,N
2017-09-05 17:00:00,Agusan del Norte,1182.35,349.57,N
2017-09-05 20:00:00,Agusan del Norte,1236.18,345.55,NNW
2017-09-05 23:00:00,Agusan del Norte,1292.43,342.34,NNW
2017-09-06 02:00:00,Agusan del Norte,1338.38,339.66,NNW
2017-09-06 05:00:00,Agusan del Norte,1354.25,338.0,NNW
2017-09-06 08:00:00,Agusan del Norte,1377.04,336.98,NNW
2017-09-06 11:00:00,Agusan del Norte,1400.27,336.0,NNW
2017-09-06 14:00:00,Agusan del Norte,1434.88,336.19,NNW
2017-09-06 17:00:00,Agusan del Norte,1481.12,337.48,NNW
2017-09-06 20:00:00,Agusan del Norte,1536.19,337.98,NNW
2017-09-06 23:00:00,Agusan del Norte,1583.46,337.08,NNW
2017-09-07 02:00:00,Agusan del Norte,1625.55,335.74,NNW
2017-09-07 05:00:00,Agusan del Norte,1664.55,335.61,NNW
2017-09-07 08:00:00,Agusan del Norte,1694.55,336.11,NNW
2017-09-07 11:00:00,Agusan del Norte,1730.42,337.07,NNW
2017-09-07 14:00:00,Agusan del Norte,1776.94,338.13,NNW
2017-09-07 17:00:00,Agusan del Norte,1820.16,339.44,NNW
2017-09-07 20:00:00,Agusan del Norte,1867.98,340.39,NNW
2017-09-07 23:00:00,Agusan del Norte,1916.3,341.29,NNW
2017-09-08 02:00:00,Agusan del Norte,1933.69,341.8,NNW
2017-09-03 20:00:00,Agusan del Sur,1082.75,39.92,NE
2017-09-03 23:00:00,Agusan del Sur,1033.5,34.62,NE
2017-09-04 02:00:00,Agusan del Sur,979.37,28.62,NNE
2017-09-04 05:00:00,Agusan del Sur,931.54,22.88,NNE
2017-09-04 08:00:00,Agusan del Sur,897.57,17.23,NNE
2017-09-04 11:00:00,Agusan del Sur,880.23,13.24,NNE
2017-09-04 14:00:00,Agusan del Sur,869.25,9.81,N
2017-09-04 17:00:00,Agusan del Sur,870.48,4.82,N
2017-09-04 20:00:00,Agusan del Sur,867.32,359.88,N
2017-09-04 23:00:00,Agusan del Sur,879.6,357.09,N
2017-09-05 02:00:00,Agusan del Sur,904.03,355.14,N
2017-09-05 05:00:00,Agusan del Sur,940.51,353.37,N
2017-09-05 08:00:00,Agusan del Sur,995.73,353.76,N
2017-09-05 11:00:00,Agusan del Sur,1076.91,352.54,N
2017-09-05 14:00:00,Agusan del Sur,1160.18,350.99,N
2017-09-05 17:00:00,Agusan del Sur,1228.79,348.02,NNW
2017-09-05 20:00:00,Agusan del Sur,1284.85,344.22,NNW
2017-09-05 23:00:00,Agusan del Sur,1342.71,341.19,NNW
2017-09-06 02:00:00,Agusan del Sur,1389.89,338.65,NNW
2017-09-06 05:00:00,Agusan del Sur,1406.46,337.06,NNW
2017-09-06 08:00:00,Agusan del Sur,1429.67,336.1,NNW
2017-09-06 11:00:00,Agusan del Sur,1453.3,335.16,NNW
2017-09-06 14:00:00,Agusan del Sur,1487.82,335.37,NNW
2017-09-06 17:00:00,Agusan del Sur,1533.54,336.65,NNW
2017-09-06 20:00:00,Agusan del Sur,1588.39,337.16,NNW
2017-09-06 23:00:00,Agusan del Sur,1636.02,336.32,NNW
2017-09-07 02:00:00,Agusan del Sur,1678.64,335.04,NNW
2017-09-07 05:00:00,Agusan del Sur,1717.7,334.93,NNW
2017-09-07 08:00:00,Agusan del Sur,1747.49,335.43,NNW
2017-09-07 11:00:00,Agusan del Sur,1782.98,336.38,NNW
2017-09-07 14:00:00,Agusan del Sur,1829.05,337.43,NNW
2017-09-07 17:00:00,Agusan del Sur,1871.7,338.72,NNW
2017-09-07 20:00:00,Agusan del Sur,1919.09,339.66,NNW
2017-09-07 23:00:00,Agusan del Sur,1966.98,340.56,NNW
2017-09-08 02:00:00,Agusan del Sur,1984.12,341.07,NNW
2017-09-03 20:00:00,Aklan,1183.67,65.04,ENE
2017-09-03 23:00:00,Aklan,1095.41,61.79,ENE
2017-09-04 02:00:00,Aklan,996.83,58.22,ENE
2017-09-04 05:00:00,Aklan,905.96,54.83,NE
2017-09-04 08:00:00,Aklan,827.66,51.14,NE
2017-09-04 11:00:00,Aklan,777.82,48.26,NE
2017-09-04 14:00:00,Aklan,738.04,45.57,NE
2017-09-04 17:00:00,Aklan,693.88,40.65,NE
2017-09-04 20:00:00,Aklan,646.73,35.69,NE
2017-09-04 23:00:00,Aklan,631.63,31.97,NNE
2017-09-05 02:00:00,Aklan,634.27,28.44,NNE
2017-09-05 05:00:00,Aklan,649.39,24.54,NNE
2017-09-05 08:00:00,Aklan,700.11,22.6,NNE
2017-09-05 11:00:00,Aklan,761.49,18.08,NNE
2017-09-05 14:00:00,Aklan,824.35,13.56,NNE
2017-09-05 17:00:00,Aklan,864.75,7.92,N
2017-09-05 20:00:00,Aklan,889.91,1.58,N
2017-09-05 23:00:00,Aklan,924.9,356.31,N
2017-09-06 02:00:00,Aklan,954.79,352.01,N
2017-09-06 05:00:00,Aklan,961.78,349.54,N
2017-09-06 08:00:00,Aklan,979.06,347.86,NNW
2017-09-06 11:00:00,Aklan,997.2,346.24,NNW
2017-09-06 14:00:00,Aklan,1032.1,346.14,NNW
2017-09-06 17:00:00,Aklan,1083.59,347.42,NNW
2017-09-06 20:00:00,Aklan,1140.08,347.55,NNW
2017-09-06 23:00:00,Aklan,1182.43,345.96,NNW
2017-09-07 02:00:00,Aklan,1217.98,343.88,NNW
2017-09-07 05:00:00,Aklan,1255.96,343.43,NNW
2017-09-07 08:00:00,Aklan,1287.79,343.88,NNW
2017-09-07 11:00:00,Aklan,1327.47,344.87,NNW
2017-09-07 14:00:00,Aklan,1378.28,345.93,NNW
2017-09-07 17:00:00,Aklan,1427.11,347.31,NNW
2017-09-07 20:00:00,Aklan,1478.93,348.21,NNW
2017-09-07 23:00:00,Aklan,1531.1,349.04,N
2017-09-08 02:00:00,Aklan,1550.87,349.58,N
2017-09-03 20:00:00,Albay,985.98,70.06,ENE
2017-09-03 23:00:00,Albay,892.76,66.58,ENE
2017-09-04 02:00:00,Albay,789.51,62.68,ENE
2017-09-04 05:00:00,Albay,694.96,58.84,ENE
2017-09-04 08:00:00,Albay,613.53,54.36,NE
2017-09-04 11:00:00,Albay,561.95,50.65,NE
2017-09-04 14:00:00,Albay,521.17,47.01,NE
2017-09-04 17:00:00,Albay,476.87,39.96,NE
2017-09-04 20:00:00,Albay,432.01,32.42,NNE
2017-09-04 23:00:00,Albay,420.25,26.7,NNE
2017-09-05 02:00:00,Albay,427.22,21.51,NNE
2017-09-05 05:00:00,Albay,448.28,16.13,NNE
2017-09-05 08:00:00,Albay,501.85,14.33,NNE
2017-09-05 11:00:00,Albay,571.4,9.27,N
2017-09-05 14:00:00,Albay,643.56,4.41,N
2017-09-05 17:00:00,Albay,697.62,358.01,N
2017-09-05 20:00:00,Albay,740.41,350.79,N
2017-09-05 23:00:00,Albay,791.08,345.19,NNW
2017-09-06 02:00:00,Albay,834.5,340.75,NNW
2017-09-06 05:00:00,Albay,849.73,338.1,NNW
2017-09-06 08:00:00,Albay,872.46,336.48,NNW
2017-09-06 11:00:00,Albay,895.88,334.95,NNW
2017-09-06 14:00:00,Albay,930.43,335.28,NNW
2017-09-06 17:00:00,Albay,976.54,337.26,NNW
2017-09-06 20:00:00,Albay,1031.66,337.98,NNW
2017-09-06 23:00:00,Albay,1078.87,336.66,NNW
2017-09-07 02:00:00,Albay,1121.22,334.73,NNW
2017-09-07 05:00:00,Albay,1160.27,334.56,NNW
2017-09-07 08:00:00,Albay,1190.1,335.29,NNW
2017-09-07 11:00:00,Albay,1225.84,336.65,NNW
2017-09-07 14:00:00,Albay,1272.43,338.13,NNW
2017-09-07 17:00:00,Albay,1316.08,339.91,NNW
2017-09-07 20:00:00,Albay,1364.42,341.17,NNW
2017-09-07 23:00:00,Albay,1413.39,342.34,NNW
2017-09-08 02:00:00,Albay,1431.23,343.02,NNW
2017-09-03 20:00:00,Antique,1271.82,61.55,ENE
2017-09-03 23:00:00,Antique,1187.61,58.29,ENE
2017-09-04 02:00:00,Antique,1093.13,54.72,NE
2017-09-04 05:00:00,Antique,1005.8,51.35,NE
2017-09-04 08:00:00,Antique,930.93,47.78,NE
2017-09-04 11:00:00,Antique,883.44,45.05,NE
2017-09-04 14:00:00,Antique,845.62,42.55,NE
2017-09-04 17:00:00,Antique,804.41,38.14,NE
2017-09-04 20:00:00,Antique,759.48,33.76,NE
2017-09-04 23:00:00,Antique,745.53,30.56,NNE
2017-09-05 02:00:00,Antique,748.89,27.58,NNE
2017-09-05 05:00:00,Antique,764.38,24.28,NNE
2017-09-05 08:00:00,Antique,815.11,22.62,NNE
2017-09-05 11:00:00,Antique,876.08,18.69,NNE
2017-09-05 14:00:00,Antique,937.89,14.67,NNE
2017-09-05 17:00:00,Antique,976.09,9.62,N
2017-09-05 20:00:00,Antique,997.63,3.93,N
2017-09-05 23:00:00,Antique,1028.68,359.12,N
2017-09-06 02:00:00,Antique,1054.72,355.15,N
2017-09-06 05:00:00,Antique,1059.27,352.89,N
2017-09-06 08:00:00,Antique,1074.78,351.31,N
2017-09-06 11:00:00,Antique,1091.12,349.77,N
2017-09-06 14:00:00,Antique,1125.84,349.57,N
2017-09-06 17:00:00,Antique,1178.64,350.58,N
2017-09-06 20:00:00,Antique,1235.19,350.56,N
2017-09-06 23:00:00,Antique,1275.72,348.98,N
2017-09-07 02:00:00,Antique,1308.8,346.96,NNW
2017-09-07 05:00:00,Antique,1346.17,346.44,NNW
2017-09-07 08:00:00,Antique,1378.5,346.79,NNW
2017-09-07 11:00:00,Antique,1419.31,347.64,NNW
2017-09-07 14:00:00,Antique,1471.27,348.53,NNW
2017-09-07 17:00:00,Antique,1521.6,349.73,N
2017-09-07 20:00:00,Antique,1574.36,350.49,N
2017-09-07 23:00:00,Antique,1627.38,351.19,N
2017-09-08 02:00:00,Antique,1647.7,351.67,N
2017-09-03 20:00:00,Apayao,1194.13,98.0,E
2017-09-03 23:00:00,Apayao,1085.01,97.94,E
2017-09-04 02:00:00,Apayao,967.63,98.59,E
2017-09-04 05:00:00,Apayao,863.13,99.95,E
2017-09-04 08:00:00,Apayao,769.5,101.46,ESE
2017-09-04 11:00:00,Apayao,707.38,102.67,ESE
2017-09-04 14:00:00,Apayao,655.85,103.84,ESE
2017-09-04 17:00:00,Apayao,580.98,104.76,ESE
2017-09-04 20:00:00,Apayao,509.71,107.1,ESE
2017-09-04 23:00:00,Apayao,465.73,107.46,ESE
2017-09-05 02:00:00,Apayao,428.46,106.01,ESE
2017-09-05 05:00:00,Apayao,388.79,102.69,ESE
2017-09-05 08:00:00,Apayao,379.42,94.5,E
2017-09-05 11:00:00,Apayao,348.34,82.16,E
2017-09-05 14:00:00,Apayao,326.36,67.54,ENE
2017-09-05 17:00:00,Apayao,289.49,51.74,NE
2017-09-05 20:00:00,Apayao,249.86,32.07,NNE
2017-09-05 23:00:00,Apayao,249.51,11.28,NNE
2017-09-06 02:00:00,Apayao,267.99,354.79,N
2017-09-06 05:00:00,Apayao,275.04,346.1,NNW
2017-09-06 08:00:00,Apayao,294.77,340.72,NNW
2017-09-06 11:00:00,Apayao,316.8,336.06,NNW
2017-09-06 14:00:00,Apayao,351.51,336.76,NNW
2017-09-06 17:00:00,Apayao,399.53,341.33,NNW
2017-09-06 20:00:00,Apayao,455.53,342.39,NNW
2017-09-06 23:00:00,Apayao,500.92,339.08,NNW
2017-09-07 02:00:00,Apayao,542.01,334.88,NNW
2017-09-07 05:00:00,Apayao,581.02,334.49,NNW
2017-09-07 08:00:00,Apayao,611.09,335.88,NNW
2017-09-07 11:00:00,Apayao,647.71,338.37,NNW
2017-09-07 14:00:00,Apayao,695.88,340.9,NNW
2017-09-07 17:00:00,Apayao,742.24,343.84,NNW
2017-09-07 20:00:00,Apayao,792.92,345.71,NNW
2017-09-07 23:00:00,Apayao,844.37,347.35,NNW
2017-09-08 02:00:00,Apayao,863.83,348.34,NNW
2017-09-03 20:00:00,Aurora,1158.74,87.24,E
2017-09-03 23:00:00,Aurora,1052.11,86.03,E
2017-09-04 02:00:00,Aurora,935.1,85.17,E
2017-09-04 05:00:00,Aurora,828.49,84.83,E
2017-09-04 08:00:00,Aurora,732.6,84.42,E
2017-09-04 11:00:00,Aurora,668.72,84.06,E
2017-09-04 14:00:00,Aurora,615.52,83.69,E
2017-09-04 17:00:00,Aurora,542.31,81.85,E
2017-09-04 20:00:00,Aurora,468.26,80.76,E
2017-09-04 23:00:00,Aurora,427.93,78.48,ENE
2017-09-05 02:00:00,Aurora,401.49,74.52,ENE
2017-09-05 05:00:00,Aurora,381.07,68.45,ENE
2017-09-05 08:00:00,Aurora,404.0,61.04,ENE
2017-09-05 11:00:00,Aurora,420.96,49.58,NE
2017-09-05 14:00:00,Aurora,446.6,38.35,NE
2017-09-05 17:00:00,Aurora,452.94,26.61,NNE
2017-09-05 20:00:00,Aurora,450.8,13.89,NNE
2017-09-05 23:00:00,Aurora,471.33,2.96,N
2017-09-06 02:00:00,Aurora,495.39,354.35,N
2017-09-06 05:00:00,Aurora,501.38,349.59,N
2017-09-06 08:00:00,Aurora,518.92,346.42,NNW
2017-09-06 11:00:00,Aurora,537.98,343.47,NNW
2017-09-06 14:00:00,Aurora,572.93,343.45,NNW
2017-09-06 17:00:00,Aurora,623.6,345.86,NNW
2017-09-06 20:00:00,Aurora,680.02,346.2,NNW
2017-09-06 23:00:00,Aurora,723.28,343.68,NNW
2017-09-07 02:00:00,Aurora,760.83,340.46,NNW
2017-09-07 05:00:00,Aurora,799.3,339.91,NNW
2017-09-07 08:00:00,Aurora,830.54,340.73,NNW
2017-09-07 11:00:00,Aurora,869.13,342.38,NNW
2017-09-07 14:00:00,Aurora,919.04,344.09,NNW
2017-09-07 17:00:00,Aurora,967.1,346.2,NNW
2017-09-07 20:00:00,Aurora,1018.64,347.54,NNW
2017-09-07 23:00:00,Aurora,1070.7,348.75,NNW
2017-09-08 02:00:00,Aurora,1090.47,349.51,N
2017-09-03 20:00:00,Basilan,1535.91,46.79,NE
2017-09-03 23:00:00,Basilan,1472.83,43.37,NE
2017-09-04 02:00:00,Basilan,1400.4,39.62,NE
2017-09-04 05:00:00,Basilan,1332.55,36.14,NE
2017-09-04 08:00:00,Basilan,1276.35,32.69,NNE
2017-09-04 11:00:00,Basilan,1241.76,30.22,NNE
2017-09-04 14:00:00,Basilan,1214.86,28.06,NNE
2017-09-04 17:00:00,Basilan,1190.42,24.64,NNE
2017-09-04 20:00:00,Basilan,1160.25,21.29,NNE
2017-09-04 23:00:00,Basilan,1155.38,19.11,NNE
2017-09-05 02:00:00,Basilan,1166.09,17.25,NNE
2017-09-05 05:00:00,Basilan,1188.73,15.28,NNE
2017-09-05 08:00:00,Basilan,1242.3,14.57,NNE
2017-09-05 11:00:00,Basilan,1310.12,12.33,NNE
2017-09-05 14:00:00,Basilan,1377.87,9.88,N
2017-09-05 17:00:00,Basilan,1421.82,6.53,N
2017-09-05 20:00:00,Basilan,1447.13,2.63,N
2017-09-05 23:00:00,Basilan,1479.01,359.31,N
2017-09-06 02:00:00,Basilan,1504.06,356.51,N
2017-09-06 05:00:00,Basilan,1507.37,354.91,N
2017-09-06 08:00:00,Basilan,1521.7,353.76,N
2017-09-06 11:00:00,Basilan,1536.65,352.64,N
2017-09-06 14:00:00,Basilan,1571.12,352.43,N
2017-09-06 17:00:00,Basilan,1624.83,353.07,N
2017-09-06 20:00:00,Basilan,1681.3,352.97,N
2017-09-06 23:00:00,Basilan,1720.2,351.74,N
2017-09-07 02:00:00,Basilan,1750.81,350.16,N
2017-09-07 05:00:00,Basilan,1787.43,349.71,N
2017-09-07 08:00:00,Basilan,1820.18,349.91,N
2017-09-07 11:00:00,Basilan,1862.02,350.49,N
2017-09-07 14:00:00,Basilan,1915.01,351.09,N
2017-09-07 17:00:00,Basilan,1966.64,351.96,N
2017-09-07 20:00:00,Basilan,2020.14,352.49,N
2017-09-07 23:00:00,Basilan,2073.8,353.0,N
2017-09-08 02:00:00,Basilan,2094.54,353.36,N
2017-09-03 20:00:00,Bataan,1279.93,81.87,E
2017-09-03 23:00:00,Bataan,1175.93,80.31,E
2017-09-04 02:00:00,Bataan,1061.01,78.94,E
2017-09-04 05:00:00,Bataan,955.61,77.98,ENE
2017-09-04 08:00:00,Bataan,861.11,76.89,ENE
2017-09-04 11:00:00,Bataan,798.36,76.01,ENE
2017-09-04 14:00:00,Bataan,746.27,75.15,ENE
2017-09-04 17:00:00,Bataan,676.64,72.79,ENE
2017-09-04 20:00:00,Bataan,605.09,70.87,ENE
2017-09-04 23:00:00,Bataan,568.34,68.49,ENE
2017-09-05 02:00:00,Bataan,546.96,65.14,ENE
2017-09-05 05:00:00,Bataan,532.86,60.46,ENE
2017-09-05 08:00:00,Bataan,561.38,55.46,NE
2017-09-05 11:00:00,Bataan,583.53,47.32,NE
2017-09-05 14:00:00,Bataan,609.77,39.18,NE
2017-09-05 17:00:00,Bataan,611.84,30.52,NNE
2017-09-05 20:00:00,Bataan,599.49,21.1,NNE
2017-09-05 23:00:00,Bataan,606.45,12.55,NNE
2017-09-06 02:00:00,Bataan,616.65,5.44,N
2017-09-06 05:00:00,Bataan,614.03,1.55,N
2017-09-06 08:00:00,Bataan,625.09,358.65,N
2017-09-06 11:00:00,Bataan,637.75,355.86,N
2017-09-06 14:00:00,Bataan,671.84,355.19,N
2017-09-06 17:00:00,Bataan,726.49,356.38,N
2017-09-06 20:00:00,Bataan,782.67,355.89,N
2017-09-06 23:00:00,Bataan,819.97,353.19,N
2017-09-07 02:00:00,Bataan,849.86,349.92,N
2017-09-07 05:00:00,Bataan,886.54,349.0,N
